"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.199028100E-2,3.054236295E-4,-2.443389036E-3,1.679830020E-3,2.980815739E-3
4.443543800E-2,1.527118147E-3,-1.221694518E-3,-1.985253533E-3,2.786729072E-3
4.687970900E-2,1.527118147E-3,-1.221694518E-3,-7.635590737E-4,2.099440352E-3
4.932325000E-2,1.527118147E-3,-1.221694518E-3,4.581354442E-4,2.008610320E-3
5.176762500E-2,3.054236295E-4,-1.221694518E-3,4.581354442E-4,1.340040736E-3
5.421272900E-2,3.054236295E-4,-1.221694518E-3,2.901524538E-3,3.163015291E-3
5.665700000E-2,3.054236295E-4,-1.221694518E-3,4.581354442E-4,1.340040736E-3
5.910054200E-2,3.054236295E-4,0.000000000E0,-7.635590737E-4,8.223782903E-4
6.154491700E-2,1.527118147E-3,0.000000000E0,-7.635590737E-4,1.707369994E-3
6.399002100E-2,3.054236295E-4,-1.221694518E-3,-7.635590737E-4,1.472699408E-3
6.643429200E-2,-9.162708884E-4,-1.221694518E-3,-7.635590737E-4,1.707369994E-3
6.887783400E-2,3.054236295E-4,-1.221694518E-3,4.581354442E-4,1.340040736E-3
7.132220900E-2,3.054236295E-4,-1.221694518E-3,4.581354442E-4,1.340040736E-3
7.376736500E-2,1.527118147E-3,0.000000000E0,1.679830020E-3,2.270224379E-3
7.621163600E-2,-2.137965523E-3,0.000000000E0,-7.635590737E-4,2.270224446E-3
7.865517700E-2,3.054236295E-4,-1.221694518E-3,-1.985253533E-3,2.350968456E-3
8.109955200E-2,3.054236295E-4,-1.221694518E-3,-1.985253533E-3,2.350968456E-3
8.354465600E-2,3.054236295E-4,-1.221694518E-3,4.581354442E-4,1.340040736E-3
8.598892700E-2,3.054236295E-4,-1.221694518E-3,-7.635590737E-4,1.472699408E-3
8.843246900E-2,3.054236295E-4,-1.221694518E-3,-7.635590737E-4,1.472699408E-3
9.087684400E-2,1.527118147E-3,0.000000000E0,4.581354442E-4,1.594358153E-3
9.332200000E-2,3.054236295E-4,1.221694518E-3,4.581354442E-4,1.340040736E-3
9.576627100E-2,1.527118147E-3,0.000000000E0,1.679830020E-3,2.270224379E-3
9.820976100E-2,3.054236295E-4,-1.221694518E-3,4.581354442E-4,1.340040736E-3
1.006541360E-1,3.054236295E-4,0.000000000E0,2.901524538E-3,2.917555182E-3
1.030992920E-1,3.054236295E-4,-1.221694518E-3,4.581354442E-4,1.340040736E-3
1.055435630E-1,3.054236295E-4,-1.221694518E-3,-7.635590737E-4,1.472699408E-3
1.079871040E-1,1.527118147E-3,-1.221694518E-3,-1.985253533E-3,2.786729072E-3
