"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.301629170E-1,-2.243271172E-1,-9.332008660E-2,9.854540825E0
2.325888540E-1,-2.578266263E-1,-7.657032460E-2,9.897611618E0
2.350148440E-1,-2.626122832E-1,-8.614161611E-2,9.895218849E0
2.374408330E-1,-2.386840582E-1,-1.100698411E-1,9.880862236E0
2.398667710E-1,-2.482553422E-1,-1.244267747E-1,9.878469467E0
2.422927600E-1,-2.530409992E-1,-1.028913707E-1,9.878469467E0
2.447187500E-1,-2.554338276E-1,-9.810572863E-2,9.856933594E0
2.471447390E-1,-2.338984162E-1,-8.374879509E-2,9.871291161E0
2.495706770E-1,-2.602194548E-1,-9.092725813E-2,9.840184212E0
2.519966670E-1,-2.554338276E-1,-1.028913707E-1,9.854540825E0
2.544226560E-1,-2.554338276E-1,-9.092725813E-2,9.864111900E0
2.568485940E-1,-2.530409992E-1,-9.810572863E-2,9.844969749E0
2.592745830E-1,-2.554338276E-1,-1.076770201E-1,9.873683929E0
2.617005730E-1,-2.482553422E-1,-1.100698411E-1,9.868897438E0
2.641265620E-1,-2.362912297E-1,-1.172483116E-1,9.861719131E0
2.665525000E-1,-2.697907388E-1,-1.076770201E-1,9.866504669E0
2.689784890E-1,-2.626122832E-1,-1.148554832E-1,9.871291161E0
2.714044790E-1,-2.458625287E-1,-1.004985496E-1,9.895218849E0
2.738304170E-1,-2.434697002E-1,-9.810572863E-2,9.888040543E0
2.762564060E-1,-2.458625287E-1,-1.172483116E-1,9.873683929E0
2.786823960E-1,-2.243271172E-1,-9.332008660E-2,9.871291161E0
2.811083330E-1,-2.338984162E-1,-1.100698411E-1,9.871291161E0
2.835343230E-1,-2.386840582E-1,-9.332008660E-2,9.866504669E0
2.859603120E-1,-2.315055877E-1,-1.268195957E-1,9.861719131E0
2.883863020E-1,-2.458625287E-1,-9.571290761E-2,9.854540825E0
2.908122390E-1,-2.697907388E-1,-1.124626622E-1,9.871291161E0
2.932382290E-1,-2.506481707E-1,-1.100698411E-1,9.830613136E0
2.956642190E-1,-2.554338276E-1,-1.004985496E-1,9.854540825E0
2.980901560E-1,-2.721835673E-1,-1.076770201E-1,9.866504669E0
3.005161460E-1,-2.530409992E-1,-1.052841991E-1,9.890433311E0
3.029421350E-1,-2.434697002E-1,-1.100698411E-1,9.859326363E0
3.053681250E-1,-2.386840582E-1,-1.268195957E-1,9.859326363E0
3.077940620E-1,-2.362912297E-1,-1.076770201E-1,9.864111900E0
3.102200520E-1,-2.602194548E-1,-1.100698411E-1,9.859326363E0
3.126460420E-1,-2.458625287E-1,-9.571290761E-2,9.885647774E0
3.150719790E-1,-2.650051117E-1,-1.316052526E-1,9.878469467E0
3.174979690E-1,-2.434697002E-1,-9.810572863E-2,9.866504669E0
3.199239580E-1,-2.530409992E-1,-1.148554832E-1,9.847362518E0
3.223498960E-1,-2.554338276E-1,-1.172483116E-1,9.861719131E0
3.247758850E-1,-2.506481707E-1,-1.124626622E-1,9.849755287E0
3.272018750E-1,-2.434697002E-1,-1.076770201E-1,9.861719131E0
3.296278640E-1,-2.434697002E-1,-1.148554832E-1,9.856933594E0
3.320538020E-1,-2.482553422E-1,-9.810572863E-2,9.866504669E0
3.344797920E-1,-2.626122832E-1,-1.268195957E-1,9.868897438E0
3.369057810E-1,-2.626122832E-1,-1.052841991E-1,9.868897438E0
3.393317190E-1,-2.434697002E-1,-1.172483116E-1,9.871291161E0
3.417577080E-1,-2.626122832E-1,-9.810572863E-2,9.847362518E0
3.441836980E-1,-2.578266263E-1,-9.332008660E-2,9.868897438E0
3.466096870E-1,-2.673979402E-1,-1.172483116E-1,9.871291161E0
3.490356250E-1,-2.482553422E-1,-1.196411327E-1,9.876076698E0
3.514616140E-1,-2.243271172E-1,-9.092725813E-2,9.888040543E0
3.538876040E-1,-2.506481707E-1,-9.332008660E-2,9.871291161E0
3.563135420E-1,-2.578266263E-1,-9.092725813E-2,9.880862236E0
3.587395310E-1,-2.578266263E-1,-1.172483116E-1,9.885647774E0
3.611655210E-1,-2.745763958E-1,-9.332008660E-2,9.849755287E0
3.635915100E-1,-2.482553422E-1,-1.100698411E-1,9.868897438E0
3.660174480E-1,-2.410768867E-1,-1.268195957E-1,9.873683929E0
3.684434370E-1,-2.530409992E-1,-1.076770201E-1,9.859326363E0
3.708694270E-1,-2.434697002E-1,-9.092725813E-2,9.873683929E0
3.732953640E-1,-2.362912297E-1,-9.332008660E-2,9.876076698E0
3.757213540E-1,-2.626122832E-1,-9.332008660E-2,9.868897438E0
3.781473440E-1,-2.697907388E-1,-1.028913707E-1,9.866504669E0
3.805733330E-1,-2.458625287E-1,-1.124626622E-1,9.873683929E0
3.829992710E-1,-2.482553422E-1,-9.571290761E-2,9.861719131E0
3.854252600E-1,-2.410768867E-1,-9.810572863E-2,9.883255005E0
3.878512500E-1,-2.697907388E-1,-1.148554832E-1,9.866504669E0
3.902771870E-1,-2.434697002E-1,-1.028913707E-1,9.828220367E0
3.927031770E-1,-2.578266263E-1,-1.172483116E-1,9.866504669E0
3.951291670E-1,-2.482553422E-1,-1.148554832E-1,9.880862236E0
3.975551040E-1,-2.338984162E-1,-1.148554832E-1,9.868897438E0
3.999810940E-1,-2.673979402E-1,-9.810572863E-2,9.880862236E0
4.024070830E-1,-2.650051117E-1,-1.124626622E-1,9.888040543E0
4.048330730E-1,-2.554338276E-1,-1.004985496E-1,9.883255005E0
4.072590100E-1,-2.386840582E-1,-1.004985496E-1,9.885647774E0
4.096850000E-1,-2.458625287E-1,-1.052841991E-1,9.873683929E0
4.121109890E-1,-2.506481707E-1,-1.076770201E-1,9.868897438E0
4.145369790E-1,-2.697907388E-1,-1.316052526E-1,9.866504669E0
4.169629170E-1,-2.769692242E-1,-8.853443712E-2,9.871291161E0
4.193889060E-1,-2.434697002E-1,-1.028913707E-1,9.864111900E0
4.218148960E-1,-2.506481707E-1,-9.571290761E-2,9.868897438E0
4.242408330E-1,-2.482553422E-1,-1.124626622E-1,9.866504669E0
4.266668230E-1,-2.626122832E-1,-1.244267747E-1,9.864111900E0
4.290928120E-1,-2.554338276E-1,-8.853443712E-2,9.866504669E0
4.315188020E-1,-2.410768867E-1,-1.100698411E-1,9.888040543E0
4.339447390E-1,-2.434697002E-1,-9.810572863E-2,9.861719131E0
4.363707290E-1,-2.410768867E-1,-1.004985496E-1,9.866504669E0
4.387967190E-1,-2.554338276E-1,-9.810572863E-2,9.876076698E0
4.412226560E-1,-2.626122832E-1,-8.853443712E-2,9.868897438E0
4.436486460E-1,-2.626122832E-1,-9.810572863E-2,9.876076698E0
4.460746350E-1,-2.602194548E-1,-9.810572863E-2,9.878469467E0
4.485006250E-1,-2.554338276E-1,-1.100698411E-1,9.847362518E0
4.509265620E-1,-2.362912297E-1,-1.028913707E-1,9.861719131E0
4.533525520E-1,-2.410768867E-1,-9.571290761E-2,9.859326363E0
4.557785420E-1,-2.506481707E-1,-1.100698411E-1,9.866504669E0
4.582044790E-1,-2.482553422E-1,-1.052841991E-1,9.866504669E0
4.606304690E-1,-2.362912297E-1,-1.100698411E-1,9.873683929E0
4.630564580E-1,-2.338984162E-1,-9.810572863E-2,9.878469467E0
4.654824480E-1,-2.602194548E-1,-8.853443712E-2,9.864111900E0
4.679083850E-1,-2.362912297E-1,-9.571290761E-2,9.859326363E0
4.703343750E-1,-2.602194548E-1,-7.896314561E-2,9.873683929E0
4.727603640E-1,-2.410768867E-1,-9.810572863E-2,9.880862236E0
4.751863540E-1,-2.554338276E-1,-1.172483116E-1,9.880862236E0
4.776122920E-1,-2.482553422E-1,-7.896314561E-2,9.864111900E0
4.800382810E-1,-2.554338276E-1,-7.657032460E-2,9.873683929E0
4.824642710E-1,-2.338984162E-1,-1.004985496E-1,9.880862236E0
4.848902080E-1,-2.506481707E-1,-8.374879509E-2,9.876076698E0
4.873161980E-1,-2.673979402E-1,-1.124626622E-1,9.880862236E0
4.897421870E-1,-2.482553422E-1,-1.100698411E-1,9.859326363E0
4.921681770E-1,-2.315055877E-1,-9.332008660E-2,9.859326363E0
4.945941140E-1,-2.482553422E-1,-9.810572863E-2,9.866504669E0
4.970201040E-1,-2.817548811E-1,-1.028913707E-1,9.856933594E0
4.994460940E-1,-2.721835673E-1,-1.052841991E-1,9.878469467E0
5.018720310E-1,-2.578266263E-1,-9.571290761E-2,9.868897438E0
5.042980210E-1,-2.530409992E-1,-1.100698411E-1,9.861719131E0
5.067240100E-1,-2.530409992E-1,-1.316052526E-1,9.880862236E0
5.091500000E-1,-2.602194548E-1,-1.172483116E-1,9.880862236E0
5.115759370E-1,-2.554338276E-1,-7.657032460E-2,9.880862236E0
5.140019270E-1,-2.243271172E-1,-1.124626622E-1,9.890433311E0
5.164279170E-1,-2.458625287E-1,-9.332008660E-2,9.868897438E0
5.188539060E-1,-2.554338276E-1,-9.092725813E-2,9.876076698E0
5.212798440E-1,-2.458625287E-1,-8.853443712E-2,9.897611618E0
5.237058330E-1,-2.530409992E-1,-1.124626622E-1,9.868897438E0
5.261318230E-1,-2.602194548E-1,-9.810572863E-2,9.868897438E0
5.285578120E-1,-2.578266263E-1,-9.810572863E-2,9.883255005E0
5.309837500E-1,-2.386840582E-1,-8.853443712E-2,9.868897438E0
5.334097390E-1,-2.650051117E-1,-1.028913707E-1,9.871291161E0
5.358357290E-1,-2.386840582E-1,-1.100698411E-1,9.892826080E0
5.382616670E-1,-2.458625287E-1,-1.220339537E-1,9.876076698E0
5.406876560E-1,-2.721835673E-1,-1.220339537E-1,9.883255005E0
5.431136460E-1,-2.650051117E-1,-1.268195957E-1,9.871291161E0
5.455396350E-1,-2.530409992E-1,-1.052841991E-1,9.885647774E0
5.479655730E-1,-2.506481707E-1,-1.052841991E-1,9.868897438E0
5.503915620E-1,-2.697907388E-1,-1.148554832E-1,9.854540825E0
5.528175520E-1,-2.386840582E-1,-8.374879509E-2,9.847362518E0
5.552435420E-1,-2.506481707E-1,-1.004985496E-1,9.868897438E0
5.576694790E-1,-2.554338276E-1,-1.220339537E-1,9.890433311E0
5.600954690E-1,-2.386840582E-1,-1.172483116E-1,9.866504669E0
5.625214580E-1,-2.458625287E-1,-8.853443712E-2,9.861719131E0
