"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.276633530E-1,-9.926267667E-4,6.872031372E-4,1.832541777E-3,2.194485227E-3
2.300892380E-1,8.399150101E-4,-5.344913807E-4,6.108472589E-4,1.168020819E-3
2.325150720E-1,2.290677221E-4,6.872031372E-4,1.221694518E-3,1.420301964E-3
2.349409050E-1,8.399150101E-4,-5.344913807E-4,6.108472589E-4,1.168020819E-3
2.373667380E-1,2.290677221E-4,7.635590737E-5,-6.108472589E-4,6.568383512E-4
2.397926240E-1,-9.926267667E-4,-5.344913807E-4,-1.221694518E-3,1.662385764E-3
2.422184570E-1,-9.926267667E-4,-1.756185899E-3,-6.108472589E-4,2.107755010E-3
2.446442910E-1,-3.817795368E-4,7.635590737E-5,6.108472589E-4,7.243757403E-4
2.470701240E-1,-3.817795368E-4,6.872031372E-4,0.000000000E0,7.861321559E-4
2.494959570E-1,8.399150101E-4,7.635590737E-5,0.000000000E0,8.433785917E-4
2.519218430E-1,8.399150101E-4,-1.145338640E-3,0.000000000E0,1.420302018E-3
2.543476760E-1,2.290677221E-4,-1.145338640E-3,0.000000000E0,1.168020813E-3
2.567735090E-1,1.450762269E-3,6.872031372E-4,1.221694518E-3,2.017299385E-3
2.591993430E-1,2.290677221E-4,6.872031372E-4,1.221694518E-3,1.420301964E-3
2.616252280E-1,2.290677221E-4,-1.145338640E-3,-6.108472589E-4,1.318107353E-3
2.640510610E-1,8.399150101E-4,-1.145338640E-3,0.000000000E0,1.420302018E-3
2.664768950E-1,2.290677221E-4,-1.145338640E-3,-1.221694518E-3,1.690210080E-3
2.689027280E-1,2.290677221E-4,7.635590737E-5,-1.221694518E-3,1.245327162E-3
2.713285610E-1,-3.817795368E-4,7.635590737E-5,-1.221694518E-3,1.282233728E-3
2.737544470E-1,2.290677221E-4,-1.145338640E-3,0.000000000E0,1.168020813E-3
2.761802800E-1,-9.926267667E-4,-1.145338640E-3,6.108472589E-4,1.634087779E-3
2.786061130E-1,-1.603474026E-3,-5.344913807E-4,6.108472589E-4,1.797204596E-3
2.810319470E-1,-3.817795368E-4,7.635590737E-5,6.108472589E-4,7.243757403E-4
2.834578320E-1,8.399150101E-4,6.872031372E-4,0.000000000E0,1.085221349E-3
2.858836660E-1,2.290677221E-4,1.298050396E-3,-6.108472589E-4,1.452770190E-3
2.883094990E-1,2.290677221E-4,6.872031372E-4,-6.108472589E-4,9.475518703E-4
2.907353320E-1,2.290677221E-4,1.298050396E-3,-6.108472589E-4,1.452770190E-3
2.931611660E-1,-3.817795368E-4,-1.145338640E-3,1.221694518E-3,1.717583683E-3
2.955870510E-1,-1.603474026E-3,-5.344913807E-4,-6.108472589E-4,1.797204596E-3
2.980128840E-1,2.290677221E-4,6.872031372E-4,-6.108472589E-4,9.475518703E-4
3.004387180E-1,-9.926267667E-4,7.635590737E-5,6.108472589E-4,1.168020760E-3
3.028645510E-1,8.399150101E-4,7.635590737E-5,-6.108472589E-4,1.041355762E-3
3.052903840E-1,1.450762269E-3,6.872031372E-4,-6.108472589E-4,1.717583677E-3
3.077162700E-1,2.290677221E-4,7.635590737E-5,1.221694518E-3,1.245327162E-3
3.101421030E-1,2.290677221E-4,7.635590737E-5,6.108472589E-4,6.568383512E-4
3.125679360E-1,8.399150101E-4,7.635590737E-5,-1.221694518E-3,1.484528526E-3
3.149937700E-1,8.399150101E-4,6.872031372E-4,0.000000000E0,1.085221349E-3
3.174196550E-1,8.399150101E-4,6.872031372E-4,-6.108472589E-4,1.245327166E-3
3.198454880E-1,-1.603474026E-3,6.872031372E-4,-1.221694518E-3,2.129768672E-3
3.222713220E-1,-3.817795368E-4,1.298050396E-3,-6.108472589E-4,1.484528484E-3
