"event","experiment time","system time","system time text"
"START",0.000000000E0,1734598481.222,"2024-12-19 10:54:41.222 UTC+02:00"
"PAUSE",6.280780826E1,1734598544.030,"2024-12-19 10:55:44.030 UTC+02:00"
