"event","experiment time","system time","system time text"
"START",0.000000000E0,1733950517.273,"2024-12-11 22:55:17.273 UTC+02:00"
"PAUSE",1.653986476E2,1733950682.672,"2024-12-11 22:58:02.672 UTC+02:00"
