"event","experiment time","system time","system time text"
"START",0.000000000E0,1734600907.087,"2024-12-19 11:35:07.087 UTC+02:00"
"PAUSE",7.257170935E0,1734600914.344,"2024-12-19 11:35:14.344 UTC+02:00"
