"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.328523980E-1,6.108472589E-4,7.635590737E-5,1.145338640E-3,1.300294274E-3
2.352782320E-1,6.108472589E-4,6.872031372E-4,-7.635590737E-5,9.226119174E-4
2.377041170E-1,6.108472589E-4,-5.344913807E-4,-7.635590737E-5,8.152580170E-4
2.401299500E-1,6.108472589E-4,1.298050396E-3,-7.635590737E-5,1.436627798E-3
2.425557840E-1,-1.221694518E-3,-5.344913807E-4,-7.635590737E-5,1.335682880E-3
2.449816170E-1,6.108472589E-4,-5.344913807E-4,-7.635590737E-5,8.152580170E-4
2.474074500E-1,-1.832541777E-3,-5.344913807E-4,-6.872031372E-4,2.028826890E-3
2.498332840E-1,-6.108472589E-4,-5.344913807E-4,-7.635590737E-5,8.152580170E-4
2.522591170E-1,-0.000000000E0,-5.344913807E-4,5.344913807E-4,7.558849595E-4
2.546849500E-1,6.108472589E-4,6.872031372E-4,1.145338640E-3,1.468735213E-3
2.571107840E-1,-0.000000000E0,7.635590737E-5,-7.635590737E-5,1.079835598E-4
2.595366170E-1,-0.000000000E0,6.872031372E-4,5.344913807E-4,8.705912863E-4
2.619624500E-1,1.221694518E-3,6.872031372E-4,-7.635590737E-5,1.403786263E-3
2.643882840E-1,6.108472589E-4,-5.344913807E-4,-7.635590737E-5,8.152580170E-4
2.668141170E-1,-0.000000000E0,7.635590737E-5,-6.872031372E-4,6.914321199E-4
2.692399500E-1,-6.108472589E-4,-5.344913807E-4,5.344913807E-4,9.718520699E-4
2.716657840E-1,-6.108472589E-4,-5.344913807E-4,5.344913807E-4,9.718520699E-4
2.740916170E-1,1.221694518E-3,-1.145338640E-3,-7.635590737E-5,1.676355666E-3
2.765174500E-1,-0.000000000E0,7.635590737E-5,-6.872031372E-4,6.914321199E-4
2.789432840E-1,-6.108472589E-4,6.872031372E-4,-7.635590737E-5,9.226119174E-4
2.813691690E-1,-6.108472589E-4,6.872031372E-4,-6.872031372E-4,1.147880951E-3
2.837950020E-1,-1.221694518E-3,7.635590737E-5,-6.872031372E-4,1.403786263E-3
2.862208360E-1,-6.108472589E-4,7.635590737E-5,-7.635590737E-5,6.203183239E-4
2.886466690E-1,-0.000000000E0,-5.344913807E-4,-1.298050396E-3,1.403786261E-3
2.910725020E-1,6.108472589E-4,6.872031372E-4,-6.872031372E-4,1.147880951E-3
2.934983360E-1,-1.221694518E-3,-5.344913807E-4,5.344913807E-4,1.436627846E-3
2.959241690E-1,-6.108472589E-4,7.635590737E-5,5.344913807E-4,8.152580170E-4
2.983500020E-1,6.108472589E-4,-5.344913807E-4,-6.872031372E-4,1.063514721E-3
3.007758360E-1,6.108472589E-4,-1.145338640E-3,-7.635590737E-5,1.300294274E-3
3.032016690E-1,-0.000000000E0,-1.145338640E-3,1.145338640E-3,1.619753438E-3
3.056275020E-1,-6.108472589E-4,7.635590737E-5,-7.635590737E-5,6.203183239E-4
3.080533360E-1,-6.108472589E-4,7.635590737E-5,5.344913807E-4,8.152580170E-4
3.104791690E-1,-1.221694518E-3,7.635590737E-5,-1.298050396E-3,1.784181199E-3
3.129050020E-1,6.108472589E-4,6.872031372E-4,5.344913807E-4,1.063514721E-3
3.153308360E-1,-0.000000000E0,7.635590737E-5,-1.298050396E-3,1.300294219E-3
3.177566690E-1,6.108472589E-4,-1.756185899E-3,5.344913807E-4,1.934684553E-3
3.201825020E-1,6.108472589E-4,-5.344913807E-4,5.344913807E-4,9.718520699E-4
3.226083880E-1,6.108472589E-4,-1.756185899E-3,5.344913807E-4,1.934684553E-3
3.250342210E-1,6.108472589E-4,6.872031372E-4,-7.635590737E-5,9.226119174E-4
3.274600540E-1,-0.000000000E0,1.908897655E-3,5.344913807E-4,1.982314630E-3
3.298858880E-1,-0.000000000E0,7.635590737E-5,-6.872031372E-4,6.914321199E-4
3.323117210E-1,1.221694518E-3,6.872031372E-4,-7.635590737E-5,1.403786263E-3
3.347375540E-1,-0.000000000E0,-1.756185899E-3,-6.872031372E-4,1.885851813E-3
3.371633880E-1,-6.108472589E-4,-5.344913807E-4,-6.872031372E-4,1.063514721E-3
3.395892210E-1,-0.000000000E0,7.635590737E-5,-7.635590737E-5,1.079835598E-4
3.420150540E-1,-0.000000000E0,-5.344913807E-4,-7.635590737E-5,5.399178276E-4
3.444408880E-1,1.832541777E-3,7.635590737E-5,1.145338640E-3,2.162369115E-3
3.468667210E-1,6.108472589E-4,-1.145338640E-3,-7.635590737E-5,1.300294274E-3
3.492925540E-1,6.108472589E-4,6.872031372E-4,-6.872031372E-4,1.147880951E-3
3.517183880E-1,-0.000000000E0,1.298050396E-3,-7.635590737E-5,1.300294219E-3
3.541442210E-1,1.832541777E-3,7.635590737E-5,-6.872031372E-4,1.958644363E-3
