"event","experiment time","system time","system time text"
"START",0.000000000E0,1733770282.670,"2024-12-09 20:51:22.670 UTC+02:00"
"PAUSE",3.053965167E2,1733770588.067,"2024-12-09 20:56:28.067 UTC+02:00"
