"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1733856668.642	"2024-12-10 20:51:08.642 UTC+02:00"
"PAUSE"	3.060713272E2	1733856974.713	"2024-12-10 20:56:14.713 UTC+02:00"
