"event","experiment time","system time","system time text"
"START",0.000000000E0,1734476551.748,"2024-12-18 01:02:31.748 UTC+02:00"
"PAUSE",6.003699966E1,1734476611.785,"2024-12-18 01:03:31.785 UTC+02:00"
