"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.546901900E-2,9.672686577E0,-1.028913707E-1,-1.671984792E-1,9.674678681E0
2.789490500E-2,9.665508270E0,-1.244267747E-1,-1.600200087E-1,9.667633555E0
3.032073800E-2,9.672686577E0,-9.092725813E-2,-1.648056656E-1,9.674517781E0
3.274662400E-2,9.670293808E0,-1.196411327E-1,-1.743769497E-1,9.672605836E0
3.517250900E-2,9.675079346E0,-1.124626622E-1,-1.648056656E-1,9.677136410E0
3.759839400E-2,9.689435959E0,-1.124626622E-1,-1.695913076E-1,9.691572538E0
4.002428000E-2,9.682257652E0,-7.896314561E-2,-1.743769497E-1,9.684149717E0
4.245011300E-2,9.684650421E0,-8.614161611E-2,-1.576271951E-1,9.686316147E0
4.487599900E-2,9.670293808E0,-1.076770201E-1,-1.887338907E-1,9.672734730E0
4.730188400E-2,9.684650421E0,-1.028913707E-1,-1.600200087E-1,9.686518818E0
4.972776900E-2,9.655936241E0,-1.220339537E-1,-1.863410622E-1,9.658505059E0
5.215360300E-2,9.675079346E0,-9.332008660E-2,-1.743769497E-1,9.677100615E0
5.457948800E-2,9.667901039E0,-1.100698411E-1,-1.648056656E-1,9.669932098E0
5.700537400E-2,9.679864883E0,-1.100698411E-1,-1.576271951E-1,9.681773901E0
5.943125900E-2,9.675079346E0,-1.052841991E-1,-1.600200087E-1,9.676975329E0
6.185714400E-2,9.663115501E0,-9.332008660E-2,-1.552343667E-1,9.664812856E0
6.428297800E-2,9.689435959E0,-1.148554832E-1,-1.480558962E-1,9.691247677E0
6.670886300E-2,9.672686577E0,-1.076770201E-1,-1.432702541E-1,9.674346816E0
6.913474900E-2,9.663115501E0,-1.004985496E-1,-1.648056656E-1,9.665043304E0
7.156063400E-2,9.694221497E0,-1.028913707E-1,-1.624128371E-1,9.696127835E0
7.398651900E-2,9.660722733E0,-1.028913707E-1,-1.576271951E-1,9.662556426E0
7.641235300E-2,9.672686577E0,-9.332008660E-2,-1.600200087E-1,9.674460226E0
7.883823800E-2,9.655936241E0,-9.810572863E-2,-1.648056656E-1,9.657840873E0
8.126412400E-2,9.682257652E0,-8.614161611E-2,-1.504487246E-1,9.683809604E0
8.369000900E-2,9.677472115E0,-1.124626622E-1,-1.600200087E-1,9.679448372E0
8.611589400E-2,9.665508270E0,-1.100698411E-1,-1.600200087E-1,9.667459433E0
8.854172800E-2,9.651150703E0,-1.124626622E-1,-1.695913076E-1,9.653295756E0
9.096761300E-2,9.663115501E0,-1.124626622E-1,-1.624128371E-1,9.665134607E0
9.339349900E-2,9.696614265E0,-8.853443712E-2,-1.648056656E-1,9.698418813E0
9.581938400E-2,9.677472115E0,-1.148554832E-1,-1.719841212E-1,9.679681650E0
9.824526900E-2,9.648757935E0,-1.244267747E-1,-1.767697781E-1,9.651179164E0
1.006711550E-1,9.701400757E0,-1.100698411E-1,-1.576271951E-1,9.703305537E0
1.030969880E-1,9.675079346E0,-9.571290761E-2,-1.600200087E-1,9.676875927E0
1.055228740E-1,9.679864883E0,-1.148554832E-1,-1.767697781E-1,9.682160064E0
