"event","experiment time","system time","system time text"
"START",0.000000000E0,1734597477.101,"2024-12-19 10:37:57.101 UTC+02:00"
"PAUSE",7.384852914E0,1734597484.486,"2024-12-19 10:38:04.486 UTC+02:00"
