"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.684847040E-1,-1.106397063E-1,7.460735440E-1,5.615977049E-1
2.709106420E-1,-1.833305359E-1,8.798491359E-1,6.043570042E-1
2.733365270E-1,-2.633515298E-1,1.036836863E0,6.410078406E-1
2.757624650E-1,-3.543677628E-1,1.217723966E0,6.733827591E-1
2.781884020E-1,-4.557684064E-1,1.414416790E0,6.972057819E-1
2.806143400E-1,-5.657209158E-1,1.619661450E0,7.100335956E-1
2.830402770E-1,-6.836144328E-1,1.805969954E0,7.088118792E-1
2.854662150E-1,-8.021187782E-1,1.955016613E0,6.849888563E-1
2.878921520E-1,-9.261208177E-1,2.057638884E0,6.367319226E-1
2.903180900E-1,-1.055620432E0,2.095511436E0,5.628194213E-1
2.927440270E-1,-1.193060994E0,2.072910070E0,4.638621509E-1
2.951699650E-1,-1.334166765E0,1.998997688E0,3.361186981E-1
2.975958500E-1,-1.483213544E0,1.891488552E0,1.834068894E-1
3.000217880E-1,-1.631649375E0,1.766875744E0,1.664558798E-2
3.024477250E-1,-1.772755146E0,1.644095421E0,-1.513374150E-1
3.048736630E-1,-1.904698133E0,1.528645277E0,-3.071034551E-1
3.072996000E-1,-2.022591591E0,1.425412059E0,-4.396573007E-1
3.097255380E-1,-2.125213861E0,1.330119848E0,-5.386145711E-1
3.121514750E-1,-2.210732698E0,1.250098944E0,-6.015318632E-1
3.145774130E-1,-2.280980110E0,1.176110029E0,-6.210789680E-1
3.170033500E-1,-2.333512783E0,1.117468715E0,-6.051968932E-1
3.194292880E-1,-2.372606993E0,1.078985333E0,-5.569399595E-1
3.218552250E-1,-2.399484396E0,1.060659885E0,-4.818057716E-1
3.242811110E-1,-2.415977240E0,1.060659885E0,-3.828485310E-1
3.267070480E-1,-2.425750732E0,1.072265983E0,-2.667875290E-1
3.291329860E-1,-2.422696590E0,1.085704684E0,-1.403421611E-1
3.315589230E-1,-2.411701441E0,1.106473446E0,-9.009997360E-3
3.339848610E-1,-2.382991552E0,1.131518245E0,1.272089481E-1
3.364107980E-1,-2.342064857E0,1.162671447E0,2.622061968E-1
3.388367360E-1,-2.284034252E0,1.210393786E0,3.923930228E-1
3.412626730E-1,-2.210732698E0,1.270256877E0,5.096756816E-1
3.436886110E-1,-2.123381376E0,1.327676535E0,6.171848178E-1
3.461145480E-1,-2.021369934E0,1.357608080E0,7.124769688E-1
3.485404860E-1,-1.902865529E0,1.341115117E0,7.943304777E-1
3.509663710E-1,-1.767868280E0,1.275754452E0,8.627454042E-1
3.533923090E-1,-1.623708367E0,1.166947365E0,9.158890843E-1
3.558182460E-1,-1.464277267E0,1.019733191E0,9.537616372E-1
3.582441840E-1,-1.293239951E0,8.438091278E-1,9.775846601E-1
3.606701210E-1,-1.116705179E0,6.477271914E-1,9.861365557E-1
3.630960590E-1,-9.328401089E-1,4.375956953E-1,9.812497497E-1
3.655219960E-1,-7.477533817E-1,2.121930718E-1,9.678111076E-1
3.679479340E-1,-5.565581918E-1,-2.542651631E-2,9.470423460E-1
3.703738710E-1,-3.610870838E-1,-2.722088099E-1,9.213867188E-1
3.727998090E-1,-1.643942744E-1,-5.196019411E-1,8.920660615E-1
3.752257460E-1,2.924431302E-2,-7.633299828E-1,8.609128594E-1
3.776516840E-1,2.241809368E-1,-9.905651808E-1,8.291487694E-1
3.800775690E-1,4.172086716E-1,-1.193366528E0,8.004390001E-1
3.825035060E-1,6.108472347E-1,-1.365014553E0,7.753942609E-1
3.849294440E-1,8.032641411E-1,-1.506807446E0,7.576796412E-1
3.873553810E-1,9.907942414E-1,-1.597212911E0,7.442410588E-1
3.897813190E-1,1.166718245E0,-1.346689105E0,7.375217080E-1
3.922072560E-1,1.375627995E0,-5.941253304E-1,7.314132452E-1
3.946331940E-1,1.566212416E0,-6.390989572E-2,7.082010508E-1
3.970591310E-1,1.743968964E0,7.047650218E-2,6.764369607E-1
3.994850690E-1,1.908286810E0,1.095707268E-1,6.355102062E-1
4.019110060E-1,2.058555365E0,1.730988473E-1,6.019136310E-1
4.043369440E-1,2.200882673E0,2.079171389E-1,5.744255185E-1
4.067628290E-1,2.335268974E0,2.103605270E-1,5.506024361E-1
4.091887670E-1,2.465379477E0,2.195232362E-1,5.298336148E-1
4.116147040E-1,2.585716486E0,2.354052663E-1,5.017346740E-1
4.140406420E-1,2.691393137E0,2.354052663E-1,4.681380689E-1
4.164665790E-1,2.784318209E0,2.085279822E-1,4.229353666E-1
4.188925170E-1,2.863117456E0,1.486649513E-1,3.734567463E-1
4.213184540E-1,2.930310726E0,4.421006888E-2,3.214583695E-1
4.237443920E-1,2.989562750E0,-1.091125906E-1,2.713688910E-1
4.261703290E-1,3.045150042E0,-2.972535491E-1,2.225011140E-1
4.285962670E-1,3.099515438E0,-4.982222915E-1,1.736333370E-1
4.310222040E-1,3.150826454E0,-6.985802054E-1,1.217113137E-1
4.334481420E-1,3.196640015E0,-8.897753954E-1,6.734590977E-2
4.358740790E-1,3.240010262E0,-1.068142772E0,1.420219894E-2
4.382999650E-1,3.279715300E0,-1.244066834E0,-3.833066672E-2
4.407259020E-1,3.318198681E0,-1.416936517E0,-8.842013776E-2
4.431518400E-1,3.359125376E0,-1.585606813E0,-1.360662282E-1
4.455777770E-1,3.398219585E0,-1.751146436E0,-1.861557066E-1
4.480037150E-1,3.443422318E0,-1.910577536E0,-2.405211031E-1
4.504296520E-1,3.489846706E0,-2.063900232E0,-2.991624475E-1
4.528555900E-1,3.536271095E0,-2.197064877E0,-3.651339412E-1
4.552815270E-1,3.580862999E0,-2.313736677E0,-4.402681589E-1
4.577074650E-1,3.627898216E0,-2.428575993E0,-5.215108395E-1
4.601334020E-1,3.673711777E0,-2.534863472E0,-6.082511544E-1
4.625593400E-1,3.724412203E0,-2.621603727E0,-6.980457306E-1
4.649852770E-1,3.772669077E0,-2.677801609E0,-7.970029712E-1
4.674111630E-1,3.826423645E0,-2.702846527E0,-9.002361298E-1
4.698371000E-1,3.883843184E0,-2.711398363E0,-1.011410356E0
4.722630380E-1,3.940041065E0,-2.715674162E0,-1.126860499E0
4.746889750E-1,3.997460842E0,-2.711398363E0,-1.242921472E0
4.771149130E-1,4.058545589E0,-2.714452505E0,-1.360204101E0
4.795408500E-1,4.120851994E0,-2.730334520E0,-1.477486849E0
4.819667880E-1,4.186823368E0,-2.752325058E0,-1.591104388E0
4.843927250E-1,4.250962257E0,-2.770650387E0,-1.699224353E0
4.868186630E-1,4.316323280E0,-2.792640924E0,-1.802457571E0
4.892446000E-1,4.381072998E0,-2.823794127E0,-1.895306349E0
4.916705380E-1,4.445822716E0,-2.870218515E0,-1.980214119E0
4.940964750E-1,4.508739948E0,-2.922140598E0,-2.055348396E0
4.965224130E-1,4.572268009E0,-2.976505995E0,-2.119487286E0
4.989482980E-1,4.633352757E0,-3.033314705E0,-2.169576645E0
5.013742360E-1,4.693826675E0,-3.091345310E0,-2.212336063E0
5.038001730E-1,4.750635624E0,-3.142656326E0,-2.245932579E0
5.062261110E-1,4.800724983E0,-3.179918051E0,-2.274031639E0
5.086520480E-1,4.846538544E0,-3.202519417E0,-2.298465490E0
5.110779860E-1,4.879524231E0,-3.212903976E0,-2.317401886E0
5.135039230E-1,4.900292873E0,-3.207406282E0,-2.330306053E0
5.159298610E-1,4.903347492E0,-3.200686932E0,-2.342522860E0
5.183557980E-1,4.891741276E0,-3.217179775E0,-2.343133688E0
5.207817360E-1,4.868528843E0,-3.266047478E0,-2.338247061E0
5.232076730E-1,4.825159073E0,-3.344236135E0,-2.334581852E0
5.256335590E-1,4.754911423E0,-3.458464384E0,-2.335192680E0
5.280595480E-1,4.645569801E0,-3.597737551E0,-2.341301203E0
5.304854340E-1,4.486138821E0,-3.728458881E0,-2.359015703E0
5.329113710E-1,4.263790131E0,-3.842687368E0,-2.383449554E0
5.353373090E-1,3.974248648E0,-3.922708273E0,-2.414602757E0
5.377632460E-1,3.615070343E0,-3.916599989E0,-2.437814951E0
5.401891840E-1,3.184423208E0,-3.790765285E0,-2.444534302E0
5.426151210E-1,2.687117100E0,-3.558643341E0,-2.422543764E0
5.450410590E-1,2.163010120E0,-3.274599552E0,-2.363902569E0
5.474669960E-1,1.633405566E0,-2.989333868E0,-2.247765303E0
5.498929340E-1,1.143506050E0,-2.706511497E0,-2.052904844E0
5.523188710E-1,7.079719901E-1,-2.445068836E0,-1.789629698E0
