"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.156441840E-1,-5.021936297E-1,5.937191248E-1,1.582523155E1
2.180701210E-1,-6.074778438E-1,6.367899179E-1,1.638305855E1
2.204960590E-1,-5.691927075E-1,6.631109715E-1,1.686910057E1
2.229219960E-1,-4.136592150E-1,7.325028181E-1,1.719003868E1
2.253478810E-1,-1.860419661E-1,7.660023570E-1,1.740060616E1
2.277738190E-1,1.513460279E-1,8.042874932E-1,1.741735649E1
2.301997560E-1,5.632106066E-1,8.210372925E-1,1.729053688E1
2.326256940E-1,1.243071318E0,7.372884750E-1,1.708475304E1
2.350516310E-1,1.930409670E0,6.774678826E-1,1.664896011E1
2.374775690E-1,2.279761791E0,5.673980713E-1,1.589731503E1
2.399035060E-1,2.641377211E0,4.908277392E-1,1.496830177E1
2.423294440E-1,3.000300407E0,3.687937856E-1,1.388375473E1
2.447553810E-1,3.263810158E0,2.153540403E-1,1.281835079E1
2.471813190E-1,3.373879910E0,3.589234129E-2,1.179601765E1
2.496072040E-1,3.407379389E0,-2.129612118E-1,1.080000496E1
2.520331420E-1,3.304488182E0,-4.860421121E-1,9.840184212E0
2.544590790E-1,3.189632654E0,-8.380861282E-1,8.956634521E0
2.568850170E-1,2.930908680E0,-1.275972724E0,8.152346611E0
2.593109540E-1,2.588735104E0,-1.695015788E0,7.381259441E0
2.617368920E-1,2.138585329E0,-2.152343988E0,6.773183823E0
2.641628290E-1,1.592722535E0,-2.635993242E0,6.296712875E0
2.665887670E-1,1.202393413E0,-3.023630619E0,5.940182209E0
2.690147040E-1,9.918249846E-1,-3.330210924E0,5.705386639E0
2.714406420E-1,1.173679471E0,-3.270390272E0,5.604887962E0
2.738665270E-1,1.085145116E0,-3.253640652E0,5.494818211E0
2.762924650E-1,9.607182741E-1,-3.334996462E0,5.305785179E0
2.787184020E-1,9.080761671E-1,-3.437887907E0,5.027918816E0
2.811443400E-1,8.913264275E-1,-3.579064369E0,4.795814991E0
2.835702770E-1,8.602197170E-1,-3.833002806E0,4.616054058E0
2.859962150E-1,8.817551732E-1,-4.170690060E0,4.400700092E0
2.884221520E-1,8.195417523E-1,-4.551148891E0,4.067798615E0
2.908480900E-1,6.469594240E-1,-4.819443703E0,3.598805189E0
2.932740270E-1,5.584250093E-1,-5.128118038E0,3.165405273E0
2.956999650E-1,4.052843451E-1,-5.427519798E0,2.861217737E0
2.981258500E-1,1.944168359E-1,-5.664409637E0,2.755933523E0
3.005517880E-1,-1.740778536E-1,-5.860919952E0,2.906681299E0
3.029777250E-1,-6.529414654E-1,-6.104988098E0,3.287439108E0
3.054036630E-1,-1.342373490E0,-6.351448536E0,3.854837179E0
3.078296000E-1,-2.158924341E0,-6.658029079E0,4.491627216E0
3.102555380E-1,-3.034996510E0,-7.026822567E0,5.265107155E0
3.126814750E-1,-3.952045679E0,-7.347461224E0,6.040680885E0
3.151074130E-1,-4.840381145E0,-7.613363266E0,6.883253574E0
3.175333500E-1,-5.582455158E0,-7.826324463E0,7.783553123E0
3.199592880E-1,-6.319743633E0,-7.938787460E0,8.458627701E0
3.223852250E-1,-6.901498795E0,-8.029714584E0,8.980562210E0
3.248111110E-1,-7.492825031E0,-8.142476082E0,9.363713264E0
3.272370480E-1,-8.055437088E0,-8.202297211E0,9.691530228E0
3.296629860E-1,-8.484051704E0,-8.187939644E0,1.006750202E1
3.320889230E-1,-8.893523216E0,-8.072785378E0,1.055115128E1
3.345148610E-1,-9.264410973E0,-7.809575081E0,1.118554878E1
3.369407980E-1,-9.422636032E0,-7.373782158E0,1.190130138E1
3.393667360E-1,-9.465706825E0,-6.717849731E0,1.256949711E1
3.417926730E-1,-9.326923370E0,-5.970989704E0,1.300977707E1
3.442186110E-1,-9.051449776E0,-5.327021599E0,1.311296749E1
3.466445480E-1,-8.694620132E0,-4.790730000E0,1.291884899E1
3.490704860E-1,-8.146365166E0,-4.278367043E0,1.264846039E1
3.514963710E-1,-7.514360428E0,-3.919144392E0,1.230838013E1
3.539223090E-1,-6.827321053E0,-3.665505171E0,1.199013519E1
3.563482460E-1,-6.070889950E0,-3.497708559E0,1.164287663E1
3.587741840E-1,-5.280660629E0,-3.375674486E0,1.137458134E1
3.612001210E-1,-4.579264164E0,-3.378067255E0,1.109940720E1
3.636260590E-1,-3.913760424E0,-3.366103172E0,1.091755199E1
3.660519960E-1,-3.360719442E0,-3.406781197E0,1.088166046E1
3.684779340E-1,-2.929712296E0,-3.490530014E0,1.097498035E1
3.709038710E-1,-2.505883455E0,-3.605684519E0,1.117837048E1
3.733298090E-1,-2.178066730E0,-3.699004650E0,1.149691486E1
3.757557460E-1,-1.964806437E0,-3.813860178E0,1.198774242E1
3.781816840E-1,-1.766202211E0,-3.871287823E0,1.262213898E1
3.806075690E-1,-1.644168258E0,-3.892823458E0,1.334267807E1
3.830335060E-1,-1.526919961E0,-3.811467409E0,1.401057434E1
3.854594440E-1,-1.459920883E0,-3.706183195E0,1.462822247E1
3.878853810E-1,-1.210768223E0,-3.787539244E0,1.778614998E1
3.903113190E-1,2.617149651E-1,-3.452244759E0,2.935694313E1
3.927372560E-1,6.613163352E-1,-2.767598391E0,2.877488899E1
3.951631940E-1,2.688934505E-1,-2.501995087E0,2.133410835E1
3.975891310E-1,6.397809386E-1,-2.736491680E0,1.838226128E1
4.000150690E-1,9.774680734E-1,-2.942274570E0,1.793929100E1
4.024410060E-1,6.756733060E-1,-2.906382322E0,1.707518196E1
4.048669440E-1,8.434699476E-2,-2.571387053E0,1.616770363E1
4.072928290E-1,-1.668993831E-1,-2.037488461E0,1.622034645E1
4.097187670E-1,-7.597211748E-2,-1.331007600E0,1.641655731E1
4.121447040E-1,1.680957973E-1,-6.798607111E-1,1.608874130E1
4.145706420E-1,5.057829022E-1,-1.244267747E-1,1.537059498E1
4.169965790E-1,7.642077208E-1,2.775674164E-1,1.443918896E1
4.194225170E-1,8.673982024E-1,5.626124144E-1,1.332592869E1
4.218484540E-1,7.857431173E-1,9.122636318E-1,1.224855995E1
4.242743920E-1,7.498508096E-1,1.295115232E0,1.157827091E1
4.267003290E-1,9.176474810E-1,1.709372640E0,1.122622681E1
4.291262670E-1,1.252642632E0,2.039881229E0,1.104197884E1
4.315522040E-1,1.690828323E0,2.193022013E0,1.097019482E1
4.339781420E-1,1.990230203E0,2.274377823E0,1.103958607E1
4.364040790E-1,2.207977057E0,2.212164640E0,1.090798092E1
4.388299650E-1,2.428116798E0,2.111665964E0,1.076411247E1
4.412559020E-1,2.734697104E0,2.054238319E0,1.073300552E1
4.436818400E-1,3.146561861E0,2.111665964E0,1.085055351E1
4.461077770E-1,3.642175198E0,2.245664120E0,1.113529968E1
4.485337150E-1,4.132703781E0,2.372483730E0,1.135783195E1
