"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.476933500E-2,3.054236295E-4,-1.221694518E-3,4.581354442E-4,1.340040736E-3
3.721443900E-2,1.527118147E-3,-1.221694518E-3,-7.635590737E-4,2.099440352E-3
3.965871000E-2,1.527118147E-3,-1.221694518E-3,-7.635590737E-4,2.099440352E-3
4.210219900E-2,-9.162708884E-4,0.000000000E0,-1.985253533E-3,2.186500385E-3
4.454657400E-2,1.527118147E-3,-1.221694518E-3,1.679830020E-3,2.578072192E-3
4.699167900E-2,1.527118147E-3,-1.221694518E-3,4.581354442E-4,2.008610320E-3
4.943589700E-2,3.054236295E-4,1.221694518E-3,4.581354442E-4,1.340040736E-3
5.187943900E-2,1.527118147E-3,-1.221694518E-3,-7.635590737E-4,2.099440352E-3
5.432371000E-2,3.054236295E-4,-1.221694518E-3,4.581354442E-4,1.340040736E-3
5.676886600E-2,3.054236295E-4,0.000000000E0,-7.635590737E-4,8.223782903E-4
5.921313700E-2,-9.162708884E-4,1.221694518E-3,-3.206948051E-3,3.551986154E-3
6.165662700E-2,-9.162708884E-4,0.000000000E0,-7.635590737E-4,1.192717402E-3
6.410100200E-2,3.054236295E-4,0.000000000E0,1.679830020E-3,1.707370051E-3
6.654610600E-2,-9.162708884E-4,1.221694518E-3,4.581354442E-4,1.594358153E-3
6.899037700E-2,3.054236295E-4,-1.221694518E-3,-7.635590737E-4,1.472699408E-3
7.143386600E-2,3.054236295E-4,-1.221694518E-3,-7.635590737E-4,1.472699408E-3
7.387824100E-2,1.527118147E-3,0.000000000E0,4.581354442E-4,1.594358153E-3
7.632334500E-2,1.527118147E-3,0.000000000E0,4.581354442E-4,1.594358153E-3
7.876756400E-2,3.054236295E-4,0.000000000E0,-7.635590737E-4,8.223782903E-4
8.121110600E-2,3.054236295E-4,0.000000000E0,-7.635590737E-4,8.223782903E-4
8.365537700E-2,1.527118147E-3,-1.221694518E-3,-7.635590737E-4,2.099440352E-3
8.610053300E-2,3.054236295E-4,-1.221694518E-3,4.581354442E-4,1.340040736E-3
8.854480400E-2,3.054236295E-4,-1.221694518E-3,-7.635590737E-4,1.472699408E-3
9.098829300E-2,1.527118147E-3,-2.443389036E-3,-7.635590737E-4,2.980815706E-3
9.343266800E-2,1.527118147E-3,-1.221694518E-3,-7.635590737E-4,2.099440352E-3
9.587777200E-2,-9.162708884E-4,0.000000000E0,1.679830020E-3,1.913473605E-3
9.832199100E-2,3.054236295E-4,0.000000000E0,4.581354442E-4,5.506102784E-4
1.007655330E-1,1.527118147E-3,-2.443389036E-3,-1.985253533E-3,3.499067220E-3
1.032098040E-1,3.054236295E-4,-1.221694518E-3,-3.206948051E-3,3.445335527E-3
1.056549600E-1,3.054236295E-4,-1.221694518E-3,-1.985253533E-3,2.350968456E-3
1.080992310E-1,3.054236295E-4,0.000000000E0,-1.985253533E-3,2.008610262E-3
1.105427200E-1,1.527118147E-3,-1.221694518E-3,-1.985253533E-3,2.786729072E-3
1.129870950E-1,3.054236295E-4,-1.221694518E-3,-7.635590737E-4,1.472699408E-3
1.154321990E-1,-9.162708884E-4,0.000000000E0,1.679830020E-3,1.913473605E-3
1.178764700E-1,-9.162708884E-4,0.000000000E0,1.679830020E-3,1.913473605E-3
1.203199600E-1,3.054236295E-4,0.000000000E0,-1.985253533E-3,2.008610262E-3
1.227643350E-1,3.054236295E-4,0.000000000E0,-7.635590737E-4,8.223782903E-4
1.252093870E-1,3.054236295E-4,0.000000000E0,4.581354442E-4,5.506102784E-4
1.276536580E-1,-2.137965523E-3,1.221694518E-3,-1.985253533E-3,3.163015280E-3
1.300971470E-1,3.054236295E-4,0.000000000E0,4.581354442E-4,5.506102784E-4
1.325415220E-1,1.527118147E-3,-2.443389036E-3,1.679830020E-3,3.335276407E-3
1.349866270E-1,3.054236295E-4,-1.221694518E-3,-7.635590737E-4,1.472699408E-3
1.374308970E-1,1.527118147E-3,-1.221694518E-3,4.581354442E-4,2.008610320E-3
1.398743870E-1,3.054236295E-4,-1.221694518E-3,4.581354442E-4,1.340040736E-3
1.423187620E-1,3.054236295E-4,0.000000000E0,4.581354442E-4,5.506102784E-4
1.447638660E-1,3.054236295E-4,-1.221694518E-3,1.679830020E-3,2.099440398E-3
1.472080850E-1,3.054236295E-4,-2.443389036E-3,4.581354442E-4,2.504659989E-3
1.496516270E-1,3.054236295E-4,-1.221694518E-3,4.581354442E-4,1.340040736E-3
1.520958970E-1,-9.162708884E-4,0.000000000E0,1.679830020E-3,1.913473605E-3
1.545410540E-1,3.054236295E-4,2.443389036E-3,4.581354442E-4,2.504659989E-3
1.569853240E-1,-9.162708884E-4,1.221694518E-3,-7.635590737E-4,1.707369994E-3
1.594288140E-1,-9.162708884E-4,0.000000000E0,-1.985253533E-3,2.186500385E-3
1.618731890E-1,3.054236295E-4,0.000000000E0,4.581354442E-4,5.506102784E-4
1.643182930E-1,1.527118147E-3,-2.443389036E-3,4.581354442E-4,2.917555124E-3
1.667625120E-1,1.527118147E-3,-2.443389036E-3,4.581354442E-4,2.917555124E-3
1.692060540E-1,1.527118147E-3,-2.443389036E-3,-1.985253533E-3,3.499067220E-3
1.716503240E-1,3.054236295E-4,-1.221694518E-3,-7.635590737E-4,1.472699408E-3
1.740954810E-1,-2.137965523E-3,0.000000000E0,-7.635590737E-4,2.270224446E-3
1.765397520E-1,1.527118147E-3,-1.221694518E-3,4.581354442E-4,2.008610320E-3
1.789832410E-1,3.054236295E-4,0.000000000E0,4.581354442E-4,5.506102784E-4
1.814276160E-1,3.054236295E-4,0.000000000E0,-7.635590737E-4,8.223782903E-4
