"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.810647500E-2,-1.253240854E-1,-1.429711580E-1,9.878170013E0
3.059991300E-2,-1.205384433E-1,-1.552343667E-1,9.882955551E0
3.309319400E-2,-1.372881979E-1,-1.429711580E-1,9.854242325E0
3.558647500E-2,-1.229312643E-1,-1.357926875E-1,9.885348320E0
3.807975700E-2,-1.205384433E-1,-1.310070455E-1,9.880562782E0
4.057303800E-2,-1.277169138E-1,-1.333998591E-1,9.887741089E0
4.306637100E-2,-1.420738399E-1,-1.357926875E-1,9.890133858E0
4.555965300E-2,-1.516451389E-1,-1.504487246E-1,9.880562782E0
4.805293400E-2,-1.372881979E-1,-1.480558962E-1,9.892526627E0
5.049751700E-2,-1.372881979E-1,-1.381855011E-1,9.882955551E0
5.289319400E-2,-1.372881979E-1,-1.381855011E-1,9.882955551E0
5.538715300E-2,-1.492523104E-1,-1.429711580E-1,9.890133858E0
5.788074600E-2,-1.420738399E-1,-1.528415531E-1,9.906884193E0
6.037397500E-2,-1.253240854E-1,-1.453639716E-1,9.894919395E0
6.286720500E-2,-1.660020649E-1,-1.405783296E-1,9.875777245E0
6.536053800E-2,-1.420738399E-1,-1.405783296E-1,9.887741089E0
6.785387100E-2,-1.325025558E-1,-1.333998591E-1,9.878170013E0
7.034710000E-2,-1.372881979E-1,-1.190429255E-1,9.890133858E0
7.284033000E-2,-1.253240854E-1,-1.357926875E-1,9.863813400E0
7.533361100E-2,-1.396810263E-1,-1.310070455E-1,9.885348320E0
7.782689200E-2,-1.396810263E-1,-1.262213886E-1,9.906884193E0
8.032012100E-2,-1.396810263E-1,-1.214357466E-1,9.911669731E0
8.281335000E-2,-1.348953694E-1,-1.214357466E-1,9.882955551E0
8.530663200E-2,-1.325025558E-1,-1.310070455E-1,9.906884193E0
8.779991300E-2,-1.301097274E-1,-1.333998591E-1,9.906884193E0
9.029314200E-2,-1.516451389E-1,-1.381855011E-1,9.870991707E0
9.278637100E-2,-1.516451389E-1,-1.453639716E-1,9.890133858E0
9.527960000E-2,-1.516451389E-1,-1.528415531E-1,9.870991707E0
9.777283000E-2,-1.396810263E-1,-1.381855011E-1,9.909276962E0
1.002660590E-1,-1.444666684E-1,-1.576271951E-1,9.904491425E0
1.027592880E-1,-1.468594968E-1,-1.480558962E-1,9.906884193E0
1.052525170E-1,-1.468594968E-1,-1.333998591E-1,9.873384476E0
1.077457460E-1,-1.372881979E-1,-1.310070455E-1,9.882955551E0
1.102389750E-1,-1.348953694E-1,-1.333998591E-1,9.916455269E0
1.127322050E-1,-1.205384433E-1,-1.480558962E-1,9.897313118E0
1.152254340E-1,-1.325025558E-1,-1.480558962E-1,9.875777245E0
1.177186630E-1,-1.229312643E-1,-1.429711580E-1,9.870991707E0
1.202118920E-1,-1.372881979E-1,-1.262213886E-1,9.880562782E0
1.227051210E-1,-1.229312643E-1,-1.480558962E-1,9.875777245E0
1.251983500E-1,-1.683948934E-1,-1.357926875E-1,9.904491425E0
1.276915800E-1,-1.420738399E-1,-1.429711580E-1,9.894919395E0
1.301486110E-1,-1.348953694E-1,-1.357926875E-1,9.911669731E0
1.325928820E-1,-1.396810263E-1,-1.504487246E-1,9.882955551E0
1.350380380E-1,-1.325025558E-1,-1.453639716E-1,9.870991707E0
1.374822570E-1,-1.325025558E-1,-1.381855011E-1,9.890133858E0
1.399257980E-1,-1.372881979E-1,-1.310070455E-1,9.902098656E0
1.423701730E-1,-1.540379524E-1,-1.357926875E-1,9.897313118E0
1.448152780E-1,-1.540379524E-1,-1.238285750E-1,9.873384476E0
1.472595480E-1,-1.516451389E-1,-1.238285750E-1,9.899705887E0
1.497030380E-1,-1.372881979E-1,-1.405783296E-1,9.897313118E0
1.521474130E-1,-1.420738399E-1,-1.429711580E-1,9.878170013E0
