"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1733857091.670	"2024-12-10 20:58:11.670 UTC+02:00"
"PAUSE"	3.056953131E2	1733857397.365	"2024-12-10 21:03:17.365 UTC+02:00"
