"event","experiment time","system time","system time text"
"START",0.000000000E0,1734477214.871,"2024-12-18 01:13:34.871 UTC+02:00"
"PAUSE",6.004564289E1,1734477274.917,"2024-12-18 01:14:34.917 UTC+02:00"
