"event","experiment time","system time","system time text"
"START",0.000000000E0,1734597439.775,"2024-12-19 10:37:19.775 UTC+02:00"
"PAUSE",6.845243956E0,1734597446.620,"2024-12-19 10:37:26.620 UTC+02:00"
