"event","experiment time","system time","system time text"
"START",0.000000000E0,1734473538.042,"2024-12-18 00:12:18.042 UTC+02:00"
"PAUSE",6.004180237E1,1734473598.084,"2024-12-18 00:13:18.084 UTC+02:00"
