"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.773938000E-2,1.221694518E-3,-9.926267667E-4,2.137965523E-3,2.654946698E-3
7.016526600E-2,6.108472589E-4,2.290677221E-4,-1.527118147E-3,1.660631275E-3
7.259115100E-2,-0.000000000E0,1.450762269E-3,5.192201585E-3,5.391073034E-3
7.501703700E-2,2.443389036E-3,-2.214321401E-3,-2.748812549E-3,4.292940679E-3
7.744287000E-2,-0.000000000E0,-3.817795368E-4,1.527118147E-3,1.574117356E-3
7.986875500E-2,6.108472589E-4,2.290677221E-4,-1.527118147E-3,1.660631275E-3
8.229464100E-2,-0.000000000E0,-1.603474026E-3,9.162708884E-4,1.846802992E-3
8.472052600E-2,-6.108472589E-4,2.290677221E-4,-9.162708884E-4,1.124792752E-3
8.714636000E-2,-6.108472589E-4,-2.214321401E-3,3.054236295E-4,2.317247771E-3
8.957224500E-2,-6.108472589E-4,-3.817795368E-4,9.162708884E-4,1.165522342E-3
9.199813000E-2,-0.000000000E0,1.450762269E-3,-2.748812549E-3,3.108163701E-3
9.442401600E-2,1.221694518E-3,2.290677221E-4,2.137965523E-3,2.473035805E-3
9.684984900E-2,-0.000000000E0,2.290677221E-4,-1.527118147E-3,1.544202661E-3
9.927573500E-2,6.108472589E-4,8.399150101E-4,2.137965523E-3,2.376865199E-3
1.017016200E-1,-1.832541777E-3,-3.817795368E-4,-2.748812549E-3,3.325648118E-3
1.041275050E-1,-0.000000000E0,-9.926267667E-4,9.162708884E-4,1.350873880E-3
1.065533910E-1,-0.000000000E0,-3.817795368E-4,-1.527118147E-3,1.574117356E-3
1.089792240E-1,1.221694518E-3,-3.817795368E-4,-3.054236295E-4,1.315893880E-3
1.114051100E-1,6.108472589E-4,-3.817795368E-4,-3.054236295E-4,7.824152235E-4
1.138309950E-1,1.221694518E-3,2.290677221E-4,-9.162708884E-4,1.544202661E-3
1.162568800E-1,6.108472589E-4,8.399150101E-4,3.054236295E-4,1.082531843E-3
1.186827140E-1,6.108472589E-4,8.399150101E-4,-9.162708884E-4,1.384970736E-3
1.211085990E-1,2.443389036E-3,-3.817795368E-4,2.137965523E-3,3.269067477E-3
1.235344850E-1,-0.000000000E0,8.399150101E-4,-2.748812549E-3,2.874269934E-3
1.259603700E-1,6.108472589E-4,-3.817795368E-4,3.054236295E-4,7.824152235E-4
1.283862550E-1,-0.000000000E0,-9.926267667E-4,-3.054236295E-4,1.038552594E-3
1.308120890E-1,6.108472589E-4,2.290677221E-4,2.137965523E-3,2.235285881E-3
1.332379740E-1,-0.000000000E0,2.290677221E-4,3.054236295E-4,3.817795368E-4
1.356638600E-1,6.108472589E-4,-3.817795368E-4,9.162708884E-4,1.165522342E-3
1.380897450E-1,-6.108472589E-4,-3.817795368E-4,-1.527118147E-3,1.688484476E-3
