"event","experiment time","system time","system time text"
"START",0.000000000E0,1734597929.346,"2024-12-19 10:45:29.346 UTC+02:00"
"PAUSE",8.838963434E1,1734598017.736,"2024-12-19 10:46:57.736 UTC+02:00"
