"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.700677500E-2,-2.027917206E-1,-1.531406492E-1,1.022303581E1
2.943229600E-2,-2.123630047E-1,-1.292124242E-1,1.016560745E1
3.185745200E-2,-2.243271172E-1,-1.268195957E-1,1.007468033E1
3.428250400E-2,-2.123630047E-1,-1.220339537E-1,9.990931511E0
3.670818100E-2,-2.219343036E-1,-1.339980662E-1,9.933504105E0
3.913333800E-2,-2.171486616E-1,-1.124626622E-1,9.813862801E0
4.155818100E-2,-2.219343036E-1,-1.004985496E-1,9.734899521E0
4.398312900E-2,-2.075773627E-1,-1.076770201E-1,9.686744690E0
4.640818100E-2,-2.291127741E-1,-1.028913707E-1,9.636494637E0
4.883323300E-2,-2.075773627E-1,-9.810572863E-2,9.638887405E0
5.125828600E-2,-2.291127741E-1,-9.810572863E-2,9.653244972E0
5.368333800E-2,-2.219343036E-1,-1.052841991E-1,9.669994354E0
5.610849400E-2,-2.219343036E-1,-1.052841991E-1,9.669994354E0
5.853354600E-2,-2.315055877E-1,-1.052841991E-1,9.761220932E0
6.100760800E-2,-2.195414752E-1,-1.244267747E-1,9.804291725E0
6.348146300E-2,-2.530409992E-1,-1.124626622E-1,9.825826645E0
6.591203600E-2,-2.530409992E-1,-1.124626622E-1,9.878469467E0
6.833740000E-2,-2.626122832E-1,-1.004985496E-1,9.892826080E0
7.076297300E-2,-2.410768867E-1,-9.571290761E-2,9.926325798E0
7.318849400E-2,-2.410768867E-1,-1.244267747E-1,9.947860718E0
7.561401500E-2,-2.338984162E-1,-1.148554832E-1,9.955039978E0
7.803964000E-2,-2.338984162E-1,-1.052841991E-1,9.943075180E0
8.046531700E-2,-2.315055877E-1,-1.052841991E-1,9.911968231E0
8.289109800E-2,-2.434697002E-1,-1.004985496E-1,9.950253487E0
8.531698300E-2,-2.410768867E-1,-1.244267747E-1,9.943075180E0
8.774526500E-2,-2.578266263E-1,-1.292124242E-1,9.935896873E0
9.016885800E-2,-2.338984162E-1,-1.100698411E-1,9.919147491E0
9.259479600E-2,-2.099701911E-1,-9.332008660E-2,9.876076698E0
9.502073300E-2,-2.267199457E-1,-1.268195957E-1,9.871291161E0
9.744667100E-2,-2.458625287E-1,-1.124626622E-1,9.844969749E0
