"event","experiment time","system time","system time text"
"START",0.000000000E0,1734598993.366,"2024-12-19 11:03:13.366 UTC+02:00"
"PAUSE",6.339127393E1,1734599056.757,"2024-12-19 11:04:16.757 UTC+02:00"
