"event","experiment time","system time","system time text"
"START",0.000000000E0,1734478378.944,"2024-12-18 01:32:58.944 UTC+02:00"
"PAUSE",3.000463170E2,1734478678.990,"2024-12-18 01:37:58.990 UTC+02:00"
