"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.744583500E-2,1.221694518E-3,-1.527118147E-3,2.061609412E-3,2.841629937E-3
6.987166900E-2,6.108472589E-4,3.054236295E-4,-2.214321401E-3,2.317247771E-3
7.229745000E-2,0.000000000E0,-3.054236295E-4,3.894151188E-3,3.906110223E-3
7.472328300E-2,0.000000000E0,-1.527118147E-3,-2.825168660E-3,3.211489965E-3
7.714906500E-2,-6.108472589E-4,-3.054236295E-4,2.061609412E-3,2.171785287E-3
7.957489800E-2,1.221694518E-3,-9.162708884E-4,-2.214321401E-3,2.689852989E-3
8.200067900E-2,0.000000000E0,-2.137965523E-3,2.061609412E-3,2.970038711E-3
8.442651300E-2,6.108472589E-4,1.527118147E-3,2.061609412E-3,2.637320150E-3
8.685229400E-2,1.221694518E-3,-2.137965523E-3,2.290677221E-4,2.473035805E-3
8.927812700E-2,-6.108472589E-4,-1.527118147E-3,8.399150101E-4,1.846803031E-3
9.170396000E-2,1.832541777E-3,-9.162708884E-4,-1.603474026E-3,2.601709180E-3
9.412974200E-2,1.221694518E-3,-9.162708884E-4,1.450762269E-3,2.106371524E-3
9.655557500E-2,1.221694518E-3,9.162708884E-4,-9.926267667E-4,1.821372486E-3
9.898135600E-2,1.832541777E-3,-3.054236295E-4,2.061609412E-3,2.775198430E-3
1.014071900E-1,1.832541777E-3,-1.527118147E-3,-1.603474026E-3,2.874270020E-3
1.038329710E-1,6.108472589E-4,9.162708884E-4,1.450762269E-3,1.821372525E-3
1.062588040E-1,1.221694518E-3,-3.054236295E-4,-9.926267667E-4,1.603474037E-3
1.086845850E-1,-6.108472589E-4,3.054236295E-4,2.290677221E-4,7.203401894E-4
1.111104190E-1,-1.221694518E-3,3.054236295E-4,2.290677221E-4,1.279958245E-3
1.135362520E-1,6.108472589E-4,-9.162708884E-4,-3.817795368E-4,1.165522342E-3
1.159620330E-1,6.108472589E-4,3.054236295E-4,2.061609412E-3,2.171785287E-3
1.183878670E-1,0.000000000E0,-9.162708884E-4,-2.214321401E-3,2.396408064E-3
1.208136480E-1,-6.108472589E-4,-1.527118147E-3,2.290677221E-4,1.660631275E-3
1.232394810E-1,0.000000000E0,-1.527118147E-3,-1.603474026E-3,2.214321293E-3
1.256652630E-1,-6.108472589E-4,-9.162708884E-4,8.399150101E-4,1.384970736E-3
1.280910960E-1,0.000000000E0,-3.054236295E-4,-9.926267667E-4,1.038552594E-3
1.305169290E-1,1.221694518E-3,-9.162708884E-4,8.399150101E-4,1.742856007E-3
1.329427100E-1,2.443389036E-3,-9.162708884E-4,8.399150101E-4,2.741379132E-3
1.353685440E-1,1.221694518E-3,-3.054236295E-4,-3.817795368E-4,1.315893880E-3
1.377943250E-1,0.000000000E0,9.162708884E-4,1.450762269E-3,1.715885632E-3
1.402201580E-1,1.832541777E-3,3.054236295E-4,-9.926267667E-4,2.106371490E-3
1.426459400E-1,-6.108472589E-4,3.054236295E-4,-3.817795368E-4,7.824152235E-4
1.450717730E-1,6.108472589E-4,-2.137965523E-3,-9.926267667E-4,2.435023377E-3
1.474975540E-1,-6.108472589E-4,-1.527118147E-3,1.450762269E-3,2.193156486E-3
1.499233880E-1,-6.108472589E-4,-3.054236295E-4,-9.926267667E-4,1.204875871E-3
1.523492210E-1,6.108472589E-4,-3.054236295E-4,8.399150101E-4,1.082531843E-3
1.547750020E-1,0.000000000E0,-3.054236295E-4,8.399150101E-4,8.937230095E-4
1.572008350E-1,6.108472589E-4,-9.162708884E-4,-3.817795368E-4,1.165522342E-3
1.596266170E-1,2.443389036E-3,-9.162708884E-4,2.290677221E-4,2.619575222E-3
1.620524500E-1,0.000000000E0,-3.054236295E-4,2.290677221E-4,3.817795368E-4
1.644782310E-1,-6.108472589E-4,-9.162708884E-4,-9.926267667E-4,1.482563527E-3
1.669040650E-1,-6.108472589E-4,3.054236295E-4,-1.603474026E-3,1.742855966E-3
1.693298980E-1,0.000000000E0,-9.162708884E-4,-3.817795368E-4,9.926267958E-4
1.717556790E-1,1.221694518E-3,-9.162708884E-4,-9.926267667E-4,1.821372486E-3
1.741815130E-1,1.221694518E-3,3.054236295E-4,8.399150101E-4,1.513696903E-3
1.766072940E-1,1.221694518E-3,-3.054236295E-4,-9.926267667E-4,1.603474037E-3
1.790331270E-1,1.221694518E-3,3.054236295E-4,2.290677221E-4,1.279958245E-3
1.814589080E-1,1.221694518E-3,-9.162708884E-4,-3.817795368E-4,1.574117356E-3
1.838847420E-1,-6.108472589E-4,9.162708884E-4,8.399150101E-4,1.384970736E-3
1.863105750E-1,2.443389036E-3,-9.162708884E-4,1.450762269E-3,2.985701506E-3
1.887363560E-1,1.221694518E-3,3.054236295E-4,-3.817795368E-4,1.315893880E-3
1.911621900E-1,0.000000000E0,-1.527118147E-3,2.290677221E-4,1.544202661E-3
1.935879710E-1,0.000000000E0,3.054236295E-4,-3.817795368E-4,4.889163611E-4
