"event","experiment time","system time","system time text"
"START",0.000000000E0,1734600810.152,"2024-12-19 11:33:30.152 UTC+02:00"
"PAUSE",7.264534612E1,1734600882.798,"2024-12-19 11:34:42.798 UTC+02:00"
