"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1733857502.528	"2024-12-10 21:05:02.528 UTC+02:00"
"PAUSE"	3.136517263E2	1733857816.179	"2024-12-10 21:10:16.179 UTC+02:00"
