"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.226069600E-2,-4.845465720E-2,-1.959123611E-1,9.882955551E0
2.475418500E-2,-7.776673418E-3,-1.863410622E-1,9.866206169E0
2.724767500E-2,-4.845465720E-2,-2.198405862E-1,9.882955551E0
2.974116500E-2,-2.452643216E-2,-2.102692872E-1,9.892526627E0
3.223470600E-2,-5.324030295E-2,-2.126621157E-1,9.890133858E0
3.472819600E-2,-3.649054468E-2,-2.006980032E-1,9.880562782E0
3.722168500E-2,-3.409772366E-2,-1.983051747E-1,9.894919395E0
3.971522700E-2,-3.409772366E-2,-1.863410622E-1,9.875777245E0
4.220871700E-2,-2.931207791E-2,-2.030908167E-1,9.878170013E0
4.470220600E-2,-2.452643216E-2,-1.887338907E-1,9.911669731E0
4.719569600E-2,-3.888336942E-2,-1.863410622E-1,9.899705887E0
4.968918500E-2,-5.832505226E-2,-1.911267042E-1,9.870991707E0
5.218267500E-2,-3.170489892E-2,-1.887338907E-1,9.873384476E0
5.467616500E-2,-2.691925503E-2,-1.887338907E-1,9.899705887E0
5.716965400E-2,-1.495514158E-2,-1.911267042E-1,9.904491425E0
5.966314400E-2,-1.495514158E-2,-1.863410622E-1,9.870991707E0
6.210772700E-2,-2.931207791E-2,-2.102692872E-1,9.878170013E0
6.450340400E-2,-2.931207791E-2,-2.102692872E-1,9.878170013E0
6.694798700E-2,-3.649054468E-2,-1.911267042E-1,9.875777245E0
6.944142500E-2,-3.649054468E-2,-1.863410622E-1,9.890133858E0
7.193449800E-2,-2.931207791E-2,-2.054836452E-1,9.859027863E0
7.442767500E-2,-7.776673418E-3,-1.959123611E-1,9.885348320E0
7.692111200E-2,-3.409772366E-2,-2.030908167E-1,9.854242325E0
7.941455000E-2,-2.213360928E-2,-1.959123611E-1,9.882955551E0
8.190788300E-2,-1.974078640E-2,-1.911267042E-1,9.866206169E0
8.440121700E-2,-3.649054468E-2,-1.935195327E-1,9.890133858E0
8.689465400E-2,-2.691925503E-2,-1.863410622E-1,9.904491425E0
8.938809200E-2,-3.409772366E-2,-1.959123611E-1,9.904491425E0
9.188147700E-2,-2.452643216E-2,-1.863410622E-1,9.873384476E0
9.437486200E-2,-3.170489892E-2,-1.935195327E-1,9.890133858E0
9.686830000E-2,-2.931207791E-2,-1.911267042E-1,9.880562782E0
9.936173700E-2,-2.452643216E-2,-2.054836452E-1,9.897313118E0
1.018551230E-1,-3.409772366E-2,-1.863410622E-1,9.878170013E0
1.043485080E-1,-3.409772366E-2,-1.983051747E-1,9.916455269E0
1.068419460E-1,-2.452643216E-2,-1.935195327E-1,9.909276962E0
1.093353830E-1,-4.127619043E-2,-2.270190418E-1,9.892526627E0
1.118088730E-1,-2.931207791E-2,-2.078764737E-1,9.880562782E0
1.142534560E-1,-3.888336942E-2,-2.054836452E-1,9.904491425E0
1.166988210E-1,-5.982056609E-4,-1.839482337E-1,9.890133858E0
1.191434040E-1,-2.452643216E-2,-1.887338907E-1,9.882955551E0
1.215871020E-1,-3.409772366E-2,-1.791625917E-1,9.866206169E0
1.240317370E-1,-1.495514158E-2,-1.839482337E-1,9.875777245E0
1.264771020E-1,-3.409772366E-2,-1.959123611E-1,9.880562782E0
1.289216850E-1,-2.691925503E-2,-1.935195327E-1,9.875777245E0
1.313654350E-1,-2.213360928E-2,-1.983051747E-1,9.882955551E0
1.338100710E-1,-2.691925503E-2,-1.983051747E-1,9.875777245E0
1.362554350E-1,-2.213360928E-2,-1.911267042E-1,9.892526627E0
1.387000190E-1,-1.016949583E-2,-2.030908167E-1,9.909276962E0
1.411437170E-1,-4.127619043E-2,-2.006980032E-1,9.906884193E0
1.435883520E-1,-2.452643216E-2,-2.030908167E-1,9.863813400E0
1.460337170E-1,-1.734796353E-2,-1.887338907E-1,9.870991707E0
1.484783000E-1,-2.452643216E-2,-1.815554202E-1,9.873384476E0
1.509220500E-1,-2.213360928E-2,-1.863410622E-1,9.861420631E0
1.533666850E-1,-4.127619043E-2,-1.791625917E-1,9.885348320E0
1.558120500E-1,-2.931207791E-2,-1.935195327E-1,9.906884193E0
1.582566330E-1,-4.127619043E-2,-1.863410622E-1,9.882955551E0
1.607003310E-1,-3.888336942E-2,-1.983051747E-1,9.880562782E0
1.631449670E-1,-3.409772366E-2,-2.030908167E-1,9.894919395E0
1.655903310E-1,-4.606183618E-2,-1.935195327E-1,9.906884193E0
1.680349150E-1,-3.170489892E-2,-1.911267042E-1,9.868598938E0
1.704786650E-1,-4.606183618E-2,-1.983051747E-1,9.894919395E0
1.729233000E-1,-3.409772366E-2,-2.078764737E-1,9.911669731E0
1.753686650E-1,-3.649054468E-2,-1.983051747E-1,9.899705887E0
1.778132480E-1,-2.213360928E-2,-1.767697781E-1,9.887741089E0
1.802569460E-1,-1.256231871E-2,-1.863410622E-1,9.899705887E0
1.827015810E-1,-1.495514158E-2,-2.006980032E-1,9.892526627E0
1.851469460E-1,-3.170489892E-2,-1.959123611E-1,9.899705887E0
1.875915290E-1,-4.127619043E-2,-2.054836452E-1,9.880562782E0
1.900352790E-1,-2.213360928E-2,-1.935195327E-1,9.878170013E0
1.924798620E-1,-2.931207791E-2,-1.791625917E-1,9.880562782E0
1.949252790E-1,-2.213360928E-2,-1.839482337E-1,9.859027863E0
1.973698620E-1,-2.931207791E-2,-1.887338907E-1,9.906884193E0
1.998135600E-1,-3.649054468E-2,-2.006980032E-1,9.870991707E0
2.022581960E-1,-5.084748194E-2,-1.935195327E-1,9.880562782E0
2.047035600E-1,-4.366901144E-2,-1.911267042E-1,9.882955551E0
2.071481440E-1,-2.691925503E-2,-1.959123611E-1,9.911669731E0
2.095918940E-1,-5.563312769E-2,-1.887338907E-1,9.885348320E0
2.120364770E-1,-3.649054468E-2,-1.839482337E-1,9.902098656E0
2.144818420E-1,-3.888336942E-2,-1.959123611E-1,9.926026344E0
2.169264250E-1,-1.256231871E-2,-1.935195327E-1,9.890133858E0
2.193701750E-1,-2.691925503E-2,-1.839482337E-1,9.892526627E0
2.218148100E-1,-2.452643216E-2,-2.126621157E-1,9.892526627E0
2.242601750E-1,-4.606183618E-2,-1.983051747E-1,9.882955551E0
2.267047580E-1,-3.888336942E-2,-1.815554202E-1,9.892526627E0
2.291484560E-1,-1.974078640E-2,-1.959123611E-1,9.906884193E0
2.315930920E-1,-3.649054468E-2,-2.006980032E-1,9.878170013E0
2.340384560E-1,-1.974078640E-2,-2.102692872E-1,9.904491425E0
2.364830400E-1,-3.170489892E-2,-1.983051747E-1,9.882955551E0
2.389267900E-1,-2.213360928E-2,-2.030908167E-1,9.897313118E0
2.413714250E-1,-2.931207791E-2,-1.959123611E-1,9.887741089E0
2.438167900E-1,-3.649054468E-2,-1.863410622E-1,9.887741089E0
2.462613730E-1,-4.127619043E-2,-1.935195327E-1,9.868598938E0
2.487050710E-1,-3.409772366E-2,-1.911267042E-1,9.892526627E0
2.511497060E-1,-2.452643216E-2,-2.006980032E-1,9.878170013E0
2.535950710E-1,-2.452643216E-2,-1.935195327E-1,9.873384476E0
2.560396540E-1,-3.170489892E-2,-1.935195327E-1,9.904491425E0
2.584834040E-1,-4.127619043E-2,-1.959123611E-1,9.887741089E0
2.609280400E-1,-2.213360928E-2,-1.887338907E-1,9.878170013E0
2.633734040E-1,-3.409772366E-2,-1.911267042E-1,9.882955551E0
2.658179870E-1,-2.452643216E-2,-2.006980032E-1,9.887741089E0
2.682616850E-1,-5.324030295E-2,-1.935195327E-1,9.890133858E0
2.707063210E-1,-4.606183618E-2,-1.911267042E-1,9.890133858E0
2.731516850E-1,-2.213360928E-2,-2.054836452E-1,9.890133858E0
2.755962690E-1,-1.734796353E-2,-1.743769497E-1,9.866206169E0
2.780400190E-1,-3.409772366E-2,-1.863410622E-1,9.892526627E0
2.804846540E-1,-2.213360928E-2,-2.006980032E-1,9.887741089E0
2.829300190E-1,-5.324030295E-2,-2.030908167E-1,9.899705887E0
2.853746020E-1,-4.606183618E-2,-1.743769497E-1,9.890133858E0
2.878183000E-1,-2.691925503E-2,-1.983051747E-1,9.890133858E0
2.902629350E-1,-4.366901144E-2,-1.983051747E-1,9.894919395E0
2.927083000E-1,-3.888336942E-2,-1.863410622E-1,9.873384476E0
2.951528830E-1,-2.452643216E-2,-1.839482337E-1,9.880562782E0
2.975966330E-1,-1.974078640E-2,-1.983051747E-1,9.899705887E0
3.000412690E-1,-3.888336942E-2,-1.863410622E-1,9.892526627E0
3.024866330E-1,-3.888336942E-2,-1.815554202E-1,9.875777245E0
3.049312170E-1,-2.691925503E-2,-1.959123611E-1,9.906884193E0
3.073749150E-1,-2.691925503E-2,-1.863410622E-1,9.894919395E0
3.098195500E-1,-2.931207791E-2,-1.959123611E-1,9.878170013E0
3.122649150E-1,-1.974078640E-2,-1.911267042E-1,9.863813400E0
3.147094980E-1,-3.170489892E-2,-2.198405862E-1,9.906884193E0
3.171532480E-1,-3.649054468E-2,-2.078764737E-1,9.894919395E0
3.195978830E-1,-1.734796353E-2,-1.959123611E-1,9.887741089E0
3.220432480E-1,-4.606183618E-2,-2.102692872E-1,9.882955551E0
3.244878310E-1,-2.452643216E-2,-1.911267042E-1,9.899705887E0
3.269315290E-1,-2.931207791E-2,-1.815554202E-1,9.880562782E0
3.293761650E-1,-1.256231871E-2,-1.815554202E-1,9.890133858E0
3.318215290E-1,-3.170489892E-2,-1.815554202E-1,9.885348320E0
3.342661120E-1,-3.888336942E-2,-1.911267042E-1,9.885348320E0
3.367098620E-1,-3.170489892E-2,-2.006980032E-1,9.892526627E0
3.391544980E-1,-2.452643216E-2,-2.030908167E-1,9.897313118E0
3.415998620E-1,-4.845465720E-2,-1.983051747E-1,9.878170013E0
3.440444460E-1,-4.127619043E-2,-2.126621157E-1,9.870991707E0
3.464881440E-1,-3.409772366E-2,-1.911267042E-1,9.894919395E0
3.489327790E-1,-3.649054468E-2,-1.959123611E-1,9.878170013E0
3.513781440E-1,-2.213360928E-2,-2.102692872E-1,9.890133858E0
3.538227270E-1,-3.170489892E-2,-2.006980032E-1,9.880562782E0
3.562664770E-1,-1.974078640E-2,-1.887338907E-1,9.892526627E0
3.587111120E-1,-3.170489892E-2,-1.791625917E-1,9.892526627E0
3.611564770E-1,-5.324030295E-2,-2.078764737E-1,9.894919395E0
3.636010600E-1,-2.691925503E-2,-2.006980032E-1,9.880562782E0
3.660447580E-1,-3.649054468E-2,-2.030908167E-1,9.875777245E0
3.684893940E-1,-2.691925503E-2,-1.815554202E-1,9.873384476E0
3.709347580E-1,-3.649054468E-2,-1.791625917E-1,9.887741089E0
3.733793420E-1,-5.084748194E-2,-1.863410622E-1,9.866206169E0
3.758230920E-1,-3.409772366E-2,-1.695913076E-1,9.870991707E0
3.782676750E-1,-2.691925503E-2,-2.006980032E-1,9.882955551E0
3.807130920E-1,-5.084748194E-2,-2.078764737E-1,9.892526627E0
3.831575710E-1,-4.606183618E-2,-1.935195327E-1,9.878170013E0
3.856013730E-1,-4.366901144E-2,-1.791625917E-1,9.887741089E0
3.880460080E-1,-2.691925503E-2,-1.983051747E-1,9.868598938E0
3.904913730E-1,-3.888336942E-2,-1.911267042E-1,9.902098656E0
3.929359560E-1,-3.888336942E-2,-1.839482337E-1,9.897313118E0
3.953797060E-1,-1.495514158E-2,-1.983051747E-1,9.894919395E0
3.978242900E-1,-3.888336942E-2,-2.054836452E-1,9.899705887E0
4.002697060E-1,-1.974078640E-2,-1.983051747E-1,9.899705887E0
4.027141850E-1,-3.649054468E-2,-2.030908167E-1,9.868598938E0
4.051579870E-1,-4.366901144E-2,-2.006980032E-1,9.892526627E0
4.076026230E-1,-4.127619043E-2,-1.839482337E-1,9.890133858E0
4.100479870E-1,-1.495514158E-2,-1.911267042E-1,9.875777245E0
4.124925710E-1,-4.127619043E-2,-1.839482337E-1,9.882955551E0
4.149362690E-1,-1.974078640E-2,-1.887338907E-1,9.897313118E0
4.173809040E-1,-3.170489892E-2,-1.863410622E-1,9.885348320E0
4.198262690E-1,-5.982056609E-4,-2.006980032E-1,9.892526627E0
4.222708520E-1,-2.452643216E-2,-1.815554202E-1,9.899705887E0
4.247146020E-1,-3.888336942E-2,-2.102692872E-1,9.897313118E0
4.271592370E-1,-3.170489892E-2,-2.078764737E-1,9.892526627E0
4.296046020E-1,-2.452643216E-2,-2.102692872E-1,9.878170013E0
4.320491850E-1,-2.931207791E-2,-2.006980032E-1,9.885348320E0
4.344928830E-1,-3.649054468E-2,-1.935195327E-1,9.894919395E0
4.369375190E-1,-2.452643216E-2,-1.863410622E-1,9.880562782E0
4.393828830E-1,-2.691925503E-2,-2.030908167E-1,9.914062500E0
4.418274670E-1,-4.606183618E-2,-2.126621157E-1,9.892526627E0
4.442712170E-1,-3.170489892E-2,-1.959123611E-1,9.892526627E0
4.467158520E-1,-3.170489892E-2,-1.839482337E-1,9.885348320E0
4.491612170E-1,-3.409772366E-2,-1.815554202E-1,9.897313118E0
4.516058000E-1,-3.649054468E-2,-1.887338907E-1,9.882955551E0
4.540494980E-1,-2.691925503E-2,-1.887338907E-1,9.868598938E0
4.564941330E-1,-3.649054468E-2,-1.863410622E-1,9.885348320E0
4.589394980E-1,-1.974078640E-2,-2.006980032E-1,9.909276962E0
4.613840810E-1,-3.649054468E-2,-2.030908167E-1,9.859027863E0
4.638278310E-1,-4.606183618E-2,-1.983051747E-1,9.880562782E0
4.662724670E-1,-4.127619043E-2,-2.030908167E-1,9.892526627E0
4.687178310E-1,-3.649054468E-2,-1.863410622E-1,9.875777245E0
4.711624150E-1,-2.931207791E-2,-2.006980032E-1,9.880562782E0
4.736061120E-1,-4.127619043E-2,-1.983051747E-1,9.878170013E0
4.760507480E-1,-4.845465720E-2,-1.911267042E-1,9.882955551E0
4.784961120E-1,-5.563312769E-2,-1.887338907E-1,9.878170013E0
4.809406960E-1,-1.974078640E-2,-2.102692872E-1,9.899705887E0
4.833844460E-1,-4.366901144E-2,-2.150549293E-1,9.885348320E0
4.858290810E-1,-3.170489892E-2,-2.030908167E-1,9.906884193E0
4.882744460E-1,-3.170489892E-2,-2.078764737E-1,9.892526627E0
4.907190290E-1,-4.845465720E-2,-2.054836452E-1,9.890133858E0
4.931627270E-1,-5.324030295E-2,-1.815554202E-1,9.894919395E0
4.956073620E-1,-3.649054468E-2,-1.743769497E-1,9.899705887E0
4.980527270E-1,-2.691925503E-2,-1.743769497E-1,9.899705887E0
5.004973100E-1,-3.409772366E-2,-1.935195327E-1,9.885348320E0
5.029410600E-1,-3.649054468E-2,-2.006980032E-1,9.880562782E0
5.053856960E-1,-2.213360928E-2,-2.006980032E-1,9.885348320E0
5.078310600E-1,-2.691925503E-2,-1.911267042E-1,9.875777245E0
5.102756440E-1,-2.931207791E-2,-1.911267042E-1,9.880562782E0
5.127193420E-1,-4.606183618E-2,-2.174477577E-1,9.902098656E0
5.151639770E-1,-3.170489892E-2,-2.006980032E-1,9.880562782E0
5.176093420E-1,-1.734796353E-2,-1.911267042E-1,9.894919395E0
5.200539250E-1,-5.324030295E-2,-1.935195327E-1,9.882955551E0
5.224976750E-1,-2.691925503E-2,-1.935195327E-1,9.885348320E0
5.249422580E-1,-3.170489892E-2,-1.815554202E-1,9.906884193E0
5.273876750E-1,-7.776673418E-3,-1.983051747E-1,9.882955551E0
5.298321540E-1,-3.649054468E-2,-1.959123611E-1,9.885348320E0
5.322759560E-1,-3.409772366E-2,-1.935195327E-1,9.870991707E0
5.347205920E-1,-3.888336942E-2,-2.006980032E-1,9.875777245E0
5.371659560E-1,-3.649054468E-2,-1.959123611E-1,9.892526627E0
5.396105400E-1,-2.452643216E-2,-1.983051747E-1,9.899705887E0
5.420542900E-1,-2.931207791E-2,-1.935195327E-1,9.873384476E0
5.444988730E-1,-2.931207791E-2,-2.006980032E-1,9.878170013E0
5.469442900E-1,-2.931207791E-2,-1.911267042E-1,9.880562782E0
5.493887690E-1,-1.495514158E-2,-1.911267042E-1,9.906884193E0
5.518325710E-1,-1.495514158E-2,-1.743769497E-1,9.899705887E0
5.542772060E-1,-2.452643216E-2,-2.030908167E-1,9.885348320E0
5.567225710E-1,-2.931207791E-2,-2.030908167E-1,9.897313118E0
5.591671540E-1,-3.888336942E-2,-1.887338907E-1,9.882955551E0
5.616108520E-1,-3.649054468E-2,-1.839482337E-1,9.880562782E0
5.640554870E-1,-2.452643216E-2,-1.911267042E-1,9.892526627E0
5.665009040E-1,-4.127619043E-2,-1.935195327E-1,9.906884193E0
5.689453830E-1,-2.452643216E-2,-1.839482337E-1,9.873384476E0
5.713891850E-1,-3.888336942E-2,-1.983051747E-1,9.875777245E0
5.738338210E-1,-4.127619043E-2,-1.887338907E-1,9.866206169E0
5.762791850E-1,-3.409772366E-2,-1.719841212E-1,9.868598938E0
5.787237690E-1,-1.734796353E-2,-1.959123611E-1,9.885348320E0
5.811674670E-1,-2.452643216E-2,-2.054836452E-1,9.870991707E0
5.836121020E-1,-2.452643216E-2,-2.078764737E-1,9.870991707E0
5.860575190E-1,-4.366901144E-2,-2.006980032E-1,9.894919395E0
5.885019980E-1,-3.649054468E-2,-2.150549293E-1,9.899705887E0
5.909458000E-1,-3.649054468E-2,-2.006980032E-1,9.897313118E0
5.933904350E-1,-4.366901144E-2,-1.839482337E-1,9.870991707E0
5.958358000E-1,-2.452643216E-2,-2.150549293E-1,9.882955551E0
5.982803830E-1,-3.170489892E-2,-1.839482337E-1,9.914062500E0
6.007240810E-1,-3.888336942E-2,-1.911267042E-1,9.899705887E0
6.031687170E-1,-2.691925503E-2,-1.887338907E-1,9.873384476E0
6.056140810E-1,-1.734796353E-2,-2.006980032E-1,9.897313118E0
6.080586650E-1,-2.691925503E-2,-1.887338907E-1,9.866206169E0
6.105024150E-1,-1.256231871E-2,-1.911267042E-1,9.880562782E0
6.129470500E-1,-1.495514158E-2,-1.863410622E-1,9.897313118E0
6.153924150E-1,-5.383851007E-3,-2.102692872E-1,9.887741089E0
6.178369980E-1,-3.888336942E-2,-1.959123611E-1,9.880562782E0
6.202806960E-1,-4.366901144E-2,-1.887338907E-1,9.899705887E0
6.227253310E-1,-2.691925503E-2,-1.887338907E-1,9.890133858E0
6.251706960E-1,-1.734796353E-2,-1.791625917E-1,9.902098656E0
6.276152790E-1,-4.606183618E-2,-1.815554202E-1,9.868598938E0
6.300590290E-1,-4.127619043E-2,-2.126621157E-1,9.880562782E0
6.325036650E-1,-1.974078640E-2,-1.815554202E-1,9.887741089E0
6.349490290E-1,-2.691925503E-2,-2.126621157E-1,9.882955551E0
6.373936120E-1,-2.452643216E-2,-1.791625917E-1,9.870991707E0
6.398373100E-1,-3.888336942E-2,-2.054836452E-1,9.882955551E0
6.422819460E-1,-4.366901144E-2,-2.006980032E-1,9.866206169E0
6.447273100E-1,-4.606183618E-2,-2.006980032E-1,9.892526627E0
6.471718940E-1,-4.127619043E-2,-1.863410622E-1,9.906884193E0
