"event","experiment time","system time","system time text"
"START",0.000000000E0,1734597832.134,"2024-12-19 10:43:52.134 UTC+02:00"
"PAUSE",6.307395013E1,1734597895.208,"2024-12-19 10:44:55.208 UTC+02:00"
