"event","experiment time","system time","system time text"
"START",0.000000000E0,1734598580.674,"2024-12-19 10:56:20.674 UTC+02:00"
"PAUSE",6.692539956E1,1734598647.600,"2024-12-19 10:57:27.600 UTC+02:00"
