"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.682480100E-2,-8.554340899E-2,-1.387837082E-1,-9.932906151E0,9.934243967E0
2.925063500E-2,-7.597211748E-2,-1.220339537E-1,-9.932906151E0,9.933946278E0
3.167652000E-2,-6.879365444E-2,-1.196411327E-1,-9.940084457E0,9.941042480E0
3.410240600E-2,-9.032905847E-2,-1.316052526E-1,-9.947262764E0,9.948543400E0
3.652829100E-2,-6.879365444E-2,-1.196411327E-1,-9.915857315E0,9.916817678E0
3.895417600E-2,-8.554340899E-2,-1.268195957E-1,-9.908679008E0,9.909859766E0
4.138001000E-2,-6.161518395E-2,-1.387837082E-1,-9.923035622E0,9.924197363E0
4.380589500E-2,-7.357929647E-2,-1.363908947E-1,-9.923035622E0,9.924245681E0
4.623178100E-2,-6.640082598E-2,-1.387837082E-1,-9.930213928E0,9.931405673E0
4.865766600E-2,-6.161518395E-2,-1.459621787E-1,-9.899106979E0,9.900374759E0
5.108355100E-2,-6.879365444E-2,-1.363908947E-1,-9.911071777E0,9.912248928E0
5.350938500E-2,-7.597211748E-2,-1.339980662E-1,-9.937691689E0,9.938885417E0
5.593527000E-2,-9.032905847E-2,-1.220339537E-1,-9.927821159E0,9.928982052E0
5.836115600E-2,-8.075776696E-2,-1.316052526E-1,-9.923035622E0,9.924236883E0
6.078704100E-2,-8.554340899E-2,-1.316052526E-1,-9.952048302E0,9.953286041E0
6.321292600E-2,-5.682953820E-2,-1.172483116E-1,-9.947262764E0,9.948116066E0
6.563876000E-2,-5.922235921E-2,-1.483550072E-1,-9.932906151E0,9.934190510E0
6.806464500E-2,-7.118647546E-2,-1.411765367E-1,-9.942477226E0,9.943734295E0
7.049053100E-2,-6.879365444E-2,-1.148554832E-1,-9.942477226E0,9.943378588E0
7.291641600E-2,-6.879365444E-2,-1.172483116E-1,-9.949655533E0,9.950584151E0
7.534230100E-2,-8.075776696E-2,-1.507478207E-1,-9.930213928E0,9.931686432E0
7.776813500E-2,-8.793623000E-2,-1.411765367E-1,-9.935298920E0,9.936691010E0
8.019402000E-2,-6.400800496E-2,-1.244267747E-1,-9.935298920E0,9.936284198E0
8.261990600E-2,-6.400800496E-2,-1.292124242E-1,-9.915857315E0,9.916905725E0
8.504579100E-2,-1.022931710E-1,-1.459621787E-1,-9.925428391E0,9.927028638E0
8.747167600E-2,-5.922235921E-2,-1.172483116E-1,-9.930213928E0,9.931082676E0
8.989751000E-2,-7.357929647E-2,-1.292124242E-1,-9.913464546E0,9.914579622E0
9.232339500E-2,-7.357929647E-2,-1.268195957E-1,-9.927821159E0,9.928903771E0
9.474928100E-2,-8.554340899E-2,-1.196411327E-1,-9.925428391E0,9.926518041E0
9.717516600E-2,-8.315058798E-2,-1.316052526E-1,-9.937691689E0,9.938910909E0
9.960105100E-2,-6.640082598E-2,-1.316052526E-1,-9.932906151E0,9.933999880E0
1.020268850E-1,-5.682953820E-2,-1.339980662E-1,-9.925428391E0,9.926495545E0
1.044527700E-1,-8.554340899E-2,-1.387837082E-1,-9.942477226E0,9.943813755E0
1.068786560E-1,-9.032905847E-2,-1.339980662E-1,-9.952048302E0,9.953360248E0
1.093045410E-1,-7.836493850E-2,-1.339980662E-1,-9.937691689E0,9.938903996E0
1.117304260E-1,-6.400800496E-2,-1.268195957E-1,-9.935298920E0,9.936314450E0
1.141562600E-1,-7.118647546E-2,-1.292124242E-1,-9.930213928E0,9.931309683E0
