"event","experiment time","system time","system time text"
"START",0.000000000E0,1734597191.657,"2024-12-19 10:33:11.657 UTC+02:00"
"PAUSE",8.810826767E0,1734597200.468,"2024-12-19 10:33:20.468 UTC+02:00"
