"event","experiment time","system time","system time text"
"START",0.000000000E0,1734476104.095,"2024-12-18 00:55:04.095 UTC+02:00"
"PAUSE",5.037824738E0,1734476109.133,"2024-12-18 00:55:09.133 UTC+02:00"
