"event","experiment time","system time","system time text"
"START",0.000000000E0,1734473783.158,"2024-12-18 00:16:23.158 UTC+02:00"
"PAUSE",3.000428737E2,1734474083.201,"2024-12-18 00:21:23.201 UTC+02:00"
