"event","experiment time","system time","system time text"
"START",0.000000000E0,1734474789.772,"2024-12-18 00:33:09.772 UTC+02:00"
"PAUSE",1.547601893E2,1734474944.532,"2024-12-18 00:35:44.532 UTC+02:00"
