"event","experiment time","system time","system time text"
"START",0.000000000E0,1733948698.835,"2024-12-11 22:24:58.835 UTC+02:00"
"PAUSE",6.004073503E1,1733948758.875,"2024-12-11 22:25:58.875 UTC+02:00"
