"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.173953300E-2,-9.162708884E-4,-2.290677279E-3,-2.596100792E-3
5.418495000E-2,-2.137965523E-3,-1.068982761E-3,-1.374406274E-3
5.662942900E-2,-2.137965523E-3,-1.068982761E-3,-5.039489828E-3
5.907317900E-2,3.054236295E-4,1.527118147E-4,-2.596100792E-3
6.151781500E-2,3.054236295E-4,-1.068982761E-3,1.068982761E-3
6.396312700E-2,-9.162708884E-4,-2.290677279E-3,-1.374406274E-3
6.640765800E-2,-2.137965523E-3,1.527118147E-4,1.068982761E-3
6.885140800E-2,3.054236295E-4,1.527118147E-4,-1.374406274E-3
7.129594000E-2,3.054236295E-4,1.527118147E-4,-1.374406274E-3
7.374135600E-2,-9.162708884E-4,1.527118147E-4,-1.527118147E-4
7.618583500E-2,3.054236295E-4,-1.068982761E-3,-1.527118147E-4
7.862958500E-2,-9.162708884E-4,-2.290677279E-3,-1.527118147E-4
8.107411700E-2,3.054236295E-4,-1.068982761E-3,-1.527118147E-4
8.351953300E-2,-4.581354558E-3,-1.068982761E-3,-1.527118147E-4
8.596401300E-2,-9.162708884E-4,1.374406274E-3,-2.596100792E-3
8.840776300E-2,1.527118147E-3,-1.068982761E-3,-1.374406274E-3
9.085239800E-2,1.527118147E-3,-1.068982761E-3,-1.527118147E-4
9.329771000E-2,1.527118147E-3,-2.290677279E-3,-1.527118147E-4
9.574224200E-2,-9.162708884E-4,-1.068982761E-3,-1.527118147E-4
9.818599200E-2,3.054236295E-4,-1.068982761E-3,1.068982761E-3
1.006305230E-1,1.527118147E-3,-1.068982761E-3,1.068982761E-3
1.030759400E-1,-9.162708884E-4,1.374406274E-3,-1.527118147E-4
1.055204190E-1,3.054236295E-4,-1.068982761E-3,-1.374406274E-3
1.079641690E-1,3.054236295E-4,1.527118147E-4,-2.596100792E-3
1.104087000E-1,-9.162708884E-4,1.527118147E-4,-1.527118147E-4
1.128541170E-1,-9.162708884E-4,-1.068982761E-3,-1.527118147E-4
1.152985960E-1,3.054236295E-4,-2.290677279E-3,-1.374406274E-3
1.177423460E-1,-9.162708884E-4,-1.068982761E-3,-1.527118147E-4
1.201869810E-1,-9.162708884E-4,1.527118147E-4,-1.374406274E-3
1.226322940E-1,-9.162708884E-4,1.374406274E-3,-1.374406274E-3
1.250767730E-1,-9.162708884E-4,-1.068982761E-3,-1.527118147E-4
