"event","experiment time","system time","system time text"
"START",0.000000000E0,1734599137.926,"2024-12-19 11:05:37.926 UTC+02:00"
"PAUSE",6.333340935E1,1734599201.259,"2024-12-19 11:06:41.259 UTC+02:00"
