"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.807084400E-2,-9.750752151E-2,-9.897313118E0,-2.150549293E-1,9.900129458E0
2.049667800E-2,-7.357929647E-2,-9.909276962E0,-2.078764737E-1,9.911730245E0
2.292261500E-2,-9.750752151E-2,-9.909276962E0,-1.983051747E-1,9.911740643E0
2.534850100E-2,-1.094716340E-1,-9.918848038E0,-2.102692872E-1,9.921680483E0
2.777438600E-2,-1.046859920E-1,-9.933204651E0,-2.006980032E-1,9.935783486E0
3.020027100E-2,-9.750752151E-2,-9.911669731E0,-1.767697781E-1,9.913725442E0
3.262615700E-2,-1.022931710E-1,-9.899705887E0,-1.911267042E-1,9.902079072E0
3.505204200E-2,-1.142572835E-1,-9.911669731E0,-1.959123611E-1,9.914264130E0
3.747792800E-2,-1.142572835E-1,-9.923633575E0,-1.815554202E-1,9.925951866E0
3.990381300E-2,-8.075776696E-2,-9.916455269E0,-1.935195327E-1,9.918672125E0
4.232969900E-2,-9.032905847E-2,-9.918848038E0,-1.863410622E-1,9.921009461E0
4.475558400E-2,-9.272187948E-2,-9.911669731E0,-1.815554202E-1,9.913766014E0
4.718146900E-2,-9.032905847E-2,-9.909276962E0,-2.198405862E-1,9.912126873E0
4.960735500E-2,-1.118644550E-1,-9.897313118E0,-2.174477577E-1,9.900333537E0
5.203324000E-2,-1.118644550E-1,-9.904491425E0,-2.126621157E-1,9.907405776E0
5.445912600E-2,-9.750752151E-2,-9.911669731E0,-1.935195327E-1,9.914038248E0
5.688501100E-2,-1.094716340E-1,-9.899705887E0,-1.719841212E-1,9.901804847E0
5.931089600E-2,-8.793623000E-2,-9.902098656E0,-1.887338907E-1,9.904287508E0
6.173678200E-2,-9.750752151E-2,-9.921240807E0,-2.078764737E-1,9.923897394E0
6.416266700E-2,-9.032905847E-2,-9.916455269E0,-1.959123611E-1,9.918801646E0
6.658855300E-2,-1.046859920E-1,-9.902098656E0,-2.054836452E-1,9.904783717E0
6.901443800E-2,-1.118644550E-1,-9.909276962E0,-2.006980032E-1,9.911940439E0
7.144032400E-2,-1.094716340E-1,-9.911669731E0,-1.791625917E-1,9.913893288E0
7.386620900E-2,-1.094716340E-1,-9.911669731E0,-1.911267042E-1,9.914116719E0
7.629209400E-2,-1.190429255E-1,-9.933204651E0,-1.815554202E-1,9.935576894E0
7.871798000E-2,-1.286142170E-1,-9.940383911E0,-1.815554202E-1,9.942873643E0
8.114386500E-2,-1.046859920E-1,-9.918848038E0,-1.911267042E-1,9.921241604E0
8.356975100E-2,-1.118644550E-1,-9.906884193E0,-1.791625917E-1,9.909135548E0
8.599563600E-2,-8.554340899E-2,-9.921240807E0,-1.935195327E-1,9.923496694E0
8.842152100E-2,-1.046859920E-1,-9.911669731E0,-2.318046987E-1,9.914932649E0
9.084740700E-2,-1.214357466E-1,-9.918848038E0,-1.959123611E-1,9.921525825E0
9.327329200E-2,-1.142572835E-1,-9.928419113E0,-1.815554202E-1,9.930736286E0
9.569917800E-2,-1.142572835E-1,-9.914062500E0,-1.839482337E-1,9.916427125E0
9.812506300E-2,-9.511470050E-2,-9.892526627E0,-2.102692872E-1,9.895218190E0
1.005509490E-1,-9.990034252E-2,-9.904491425E0,-1.911267042E-1,9.906839046E0
1.029768340E-1,-1.046859920E-1,-9.942776680E0,-1.791625917E-1,9.944941754E0
1.054027190E-1,-1.046859920E-1,-9.904491425E0,-1.839482337E-1,9.906752570E0
1.078286050E-1,-1.070788130E-1,-9.899705887E0,-1.887338907E-1,9.902083771E0
1.102544900E-1,-9.032905847E-2,-9.911669731E0,-1.600200087E-1,9.913372917E0
1.126803760E-1,-1.094716340E-1,-9.899705887E0,-1.767697781E-1,9.901889125E0
1.151062610E-1,-1.070788130E-1,-9.923633575E0,-1.935195327E-1,9.926097875E0
1.175321460E-1,-1.118644550E-1,-9.911669731E0,-1.815554202E-1,9.913963531E0
1.199580320E-1,-1.286142170E-1,-9.911669731E0,-1.911267042E-1,9.914346569E0
1.223839170E-1,-1.094716340E-1,-9.906884193E0,-2.150549293E-1,9.909822757E0
1.248098030E-1,-9.272187948E-2,-9.906884193E0,-1.911267042E-1,9.909161477E0
1.272356880E-1,-9.990034252E-2,-9.909276962E0,-1.863410622E-1,9.911532323E0
1.296615740E-1,-8.075776696E-2,-9.899705887E0,-2.030908167E-1,9.902118175E0
1.320874590E-1,-9.511470050E-2,-9.904491425E0,-1.959123611E-1,9.906885426E0
1.345133440E-1,-8.793623000E-2,-9.928419113E0,-2.078764737E-1,9.930984417E0
1.369392300E-1,-9.511470050E-2,-9.904491425E0,-2.030908167E-1,9.907029982E0
1.393651150E-1,-1.070788130E-1,-9.909276962E0,-2.030908167E-1,9.911936323E0
1.417910010E-1,-8.554340899E-2,-9.906884193E0,-1.911267042E-1,9.909096907E0
1.442168860E-1,-7.597211748E-2,-9.887741089E0,-1.959123611E-1,9.889973572E0
1.466427710E-1,-9.511470050E-2,-9.890133858E0,-1.839482337E-1,9.892301627E0
1.490686570E-1,-1.022931710E-1,-9.904491425E0,-2.030908167E-1,9.907101501E0
1.514945420E-1,-9.032905847E-2,-9.892526627E0,-1.983051747E-1,9.894926343E0
1.539204280E-1,-1.166501045E-1,-9.902098656E0,-1.959123611E-1,9.904723453E0
1.563463130E-1,-1.118644550E-1,-9.887741089E0,-2.030908167E-1,9.890459210E0
1.587721990E-1,-8.315058798E-2,-9.909276962E0,-2.006980032E-1,9.911657965E0
1.611980840E-1,-9.990034252E-2,-9.899705887E0,-2.054836452E-1,9.902342160E0
1.636239690E-1,-9.750752151E-2,-9.918848038E0,-2.126621157E-1,9.921606689E0
1.660498550E-1,-9.272187948E-2,-9.909276962E0,-2.150549293E-1,9.912043981E0
1.684757400E-1,-1.333998591E-1,-9.926026344E0,-1.767697781E-1,9.928496465E0
1.709016260E-1,-9.990034252E-2,-9.921240807E0,-1.935195327E-1,9.923630839E0
1.733275110E-1,-1.118644550E-1,-9.928419113E0,-2.054836452E-1,9.931175322E0
1.757533960E-1,-1.022931710E-1,-9.914062500E0,-1.887338907E-1,9.916386420E0
1.781792820E-1,-9.272187948E-2,-9.904491425E0,-2.006980032E-1,9.906958535E0
1.806051670E-1,-1.094716340E-1,-9.928419113E0,-1.887338907E-1,9.930816210E0
1.830310530E-1,-1.094716340E-1,-9.916455269E0,-1.791625917E-1,9.918677753E0
1.854569380E-1,-1.094716340E-1,-9.911669731E0,-1.959123611E-1,9.914210132E0
1.878828240E-1,-9.990034252E-2,-9.926026344E0,-2.150549293E-1,9.928858328E0
1.903087090E-1,-1.190429255E-1,-9.906884193E0,-2.198405862E-1,9.910038119E0
1.927345940E-1,-8.793623000E-2,-9.926026344E0,-1.887338907E-1,9.928209922E0
1.951604800E-1,-1.238285750E-1,-9.909276962E0,-1.863410622E-1,9.911802380E0
1.975863650E-1,-1.214357466E-1,-9.902098656E0,-1.983051747E-1,9.904828589E0
2.000122510E-1,-1.238285750E-1,-9.897313118E0,-2.054836452E-1,9.900220402E0
2.024381360E-1,-1.094716340E-1,-9.906884193E0,-2.006980032E-1,9.909521590E0
2.048640210E-1,-1.190429255E-1,-9.899705887E0,-2.006980032E-1,9.902455632E0
2.072899070E-1,-9.750752151E-2,-9.921240807E0,-2.078764737E-1,9.923897394E0
2.097157920E-1,-1.022931710E-1,-9.916455269E0,-2.030908167E-1,9.919062197E0
2.121416780E-1,-1.046859920E-1,-9.894919395E0,-2.078764737E-1,9.897656370E0
2.145675630E-1,-1.094716340E-1,-9.911669731E0,-1.911267042E-1,9.914116719E0
2.169934490E-1,-1.094716340E-1,-9.899705887E0,-2.102692872E-1,9.902543807E0
2.194193340E-1,-8.793623000E-2,-9.918848038E0,-1.983051747E-1,9.921219891E0
2.218452190E-1,-1.070788130E-1,-9.902098656E0,-1.911267042E-1,9.904521850E0
2.242711050E-1,-8.315058798E-2,-9.880562782E0,-1.911267042E-1,9.882760967E0
2.266969900E-1,-9.990034252E-2,-9.906884193E0,-2.054836452E-1,9.909518557E0
2.291228760E-1,-7.118647546E-2,-9.909276962E0,-1.863410622E-1,9.911284499E0
2.315487610E-1,-8.075776696E-2,-9.916455269E0,-1.959123611E-1,9.918719099E0
2.339746990E-1,-8.075776696E-2,-9.897313118E0,-2.006980032E-1,9.899677190E0
2.364005320E-1,-7.836493850E-2,-9.911669731E0,-1.959123611E-1,9.913915451E0
2.388264170E-1,-9.750752151E-2,-9.918848038E0,-2.054836452E-1,9.921455419E0
2.412523550E-1,-9.750752151E-2,-9.916455269E0,-2.246262282E-1,9.919478301E0
2.436782400E-1,-9.511470050E-2,-9.894919395E0,-2.078764737E-1,9.897559764E0
2.461041260E-1,-1.166501045E-1,-9.899705887E0,-2.054836452E-1,9.902525305E0
2.485299590E-1,-8.554340899E-2,-9.933204651E0,-1.911267042E-1,9.935411503E0
2.509558960E-1,-8.315058798E-2,-9.916455269E0,-1.743769497E-1,9.918336879E0
2.533817820E-1,-1.022931710E-1,-9.902098656E0,-2.054836452E-1,9.904758715E0
2.558076670E-1,-8.554340899E-2,-9.892526627E0,-1.983051747E-1,9.894883813E0
2.582335530E-1,-1.166501045E-1,-9.916455269E0,-2.174477577E-1,9.919524982E0
2.606594380E-1,-9.511470050E-2,-9.928419113E0,-2.054836452E-1,9.931000776E0
2.630853240E-1,-8.315058798E-2,-9.930811882E0,-1.815554202E-1,9.932819390E0
2.655112090E-1,-9.511470050E-2,-9.911669731E0,-1.935195327E-1,9.914015003E0
2.679370940E-1,-1.070788130E-1,-9.923633575E0,-1.959123611E-1,9.926144814E0
2.703629800E-1,-1.286142170E-1,-9.902098656E0,-1.839482337E-1,9.904642162E0
2.727888650E-1,-1.501496136E-1,-9.906884193E0,-1.935195327E-1,9.909911661E0
2.752147510E-1,-1.070788130E-1,-9.902098656E0,-2.030908167E-1,9.904759944E0
2.776406360E-1,-1.381855011E-1,-9.904491425E0,-1.935195327E-1,9.907345529E0
2.800665210E-1,-8.075776696E-2,-9.926026344E0,-1.911267042E-1,9.928194711E0
2.824924070E-1,-9.990034252E-2,-9.914062500E0,-1.887338907E-1,9.916362025E0
2.849182920E-1,-1.142572835E-1,-9.935597420E0,-1.767697781E-1,9.937826642E0
2.873441780E-1,-1.046859920E-1,-9.914062500E0,-1.743769497E-1,9.916148533E0
2.897700630E-1,-9.272187948E-2,-9.887741089E0,-1.839482337E-1,9.889886660E0
2.921959490E-1,-1.262213886E-1,-9.921240807E0,-1.791625917E-1,9.923661130E0
2.946218340E-1,-1.262213886E-1,-9.916455269E0,-1.959123611E-1,9.919193445E0
2.970477190E-1,-1.214357466E-1,-9.897313118E0,-1.959123611E-1,9.899996730E0
2.994736050E-1,-9.511470050E-2,-9.902098656E0,-1.935195327E-1,9.904446194E0
3.018994900E-1,-9.750752151E-2,-9.897313118E0,-1.863410622E-1,9.899547346E0
3.043253760E-1,-1.166501045E-1,-9.909276962E0,-1.743769497E-1,9.911497590E0
3.067512610E-1,-1.022931710E-1,-9.882955551E0,-1.911267042E-1,9.885332758E0
3.091771460E-1,-1.046859920E-1,-9.890133858E0,-1.839482337E-1,9.892398285E0
3.116030320E-1,-1.190429255E-1,-9.916455269E0,-1.767697781E-1,9.918745075E0
3.140289170E-1,-9.272187948E-2,-9.894919395E0,-1.815554202E-1,9.897019226E0
3.164548030E-1,-1.118644550E-1,-9.902098656E0,-2.078764737E-1,9.904912118E0
3.188806880E-1,-1.142572835E-1,-9.914062500E0,-1.767697781E-1,9.916296563E0
3.213065740E-1,-1.070788130E-1,-9.887741089E0,-1.815554202E-1,9.889987466E0
3.237324590E-1,-9.990034252E-2,-9.916455269E0,-1.839482337E-1,9.918664332E0
3.261583440E-1,-1.046859920E-1,-9.906884193E0,-1.935195327E-1,9.909327091E0
3.285842300E-1,-1.118644550E-1,-9.890133858E0,-1.887338907E-1,9.892567001E0
3.310101150E-1,-1.262213886E-1,-9.909276962E0,-2.102692872E-1,9.912311281E0
3.334360010E-1,-9.990034252E-2,-9.899705887E0,-1.983051747E-1,9.902195800E0
3.358618860E-1,-1.118644550E-1,-9.897313118E0,-1.911267042E-1,9.899790403E0
3.382877710E-1,-1.142572835E-1,-9.916455269E0,-2.102692872E-1,9.919342367E0
3.407136570E-1,-9.750752151E-2,-9.923633575E0,-2.054836452E-1,9.926239700E0
3.431395420E-1,-9.990034252E-2,-9.916455269E0,-1.983051747E-1,9.918940978E0
3.455654280E-1,-8.075776696E-2,-9.928419113E0,-2.126621157E-1,9.931024775E0
3.479913130E-1,-9.032905847E-2,-9.942776680E0,-2.006980032E-1,9.945212272E0
3.504171990E-1,-9.511470050E-2,-9.909276962E0,-1.863410622E-1,9.911485243E0
3.528430840E-1,-1.094716340E-1,-9.892526627E0,-1.983051747E-1,9.895119607E0
3.552689690E-1,-9.032905847E-2,-9.906884193E0,-1.887338907E-1,9.909093513E0
3.576948550E-1,-9.272187948E-2,-9.921240807E0,-1.791625917E-1,9.923291577E0
3.601207400E-1,-1.238285750E-1,-9.899705887E0,-1.911267042E-1,9.902324958E0
3.625466260E-1,-1.022931710E-1,-9.930811882E0,-2.030908167E-1,9.933415043E0
3.649725110E-1,-1.142572835E-1,-9.928419113E0,-1.911267042E-1,9.930915881E0
3.673983960E-1,-6.640082598E-2,-9.916455269E0,-2.006980032E-1,9.918708276E0
3.698242820E-1,-1.094716340E-1,-9.926026344E0,-1.935195327E-1,9.928516145E0
3.722501670E-1,-1.310070455E-1,-9.909276962E0,-2.006980032E-1,9.912174961E0
3.746760530E-1,-1.094716340E-1,-9.890133858E0,-1.815554202E-1,9.892405882E0
3.771019380E-1,-9.032905847E-2,-9.904491425E0,-1.863410622E-1,9.906655980E0
3.795278240E-1,-8.793623000E-2,-9.894919395E0,-2.006980032E-1,9.897345215E0
3.819537090E-1,-1.118644550E-1,-9.902098656E0,-1.815554202E-1,9.904394672E0
3.843795940E-1,-7.836493850E-2,-9.933204651E0,-1.911267042E-1,9.935352290E0
3.868054800E-1,-9.511470050E-2,-9.894919395E0,-1.815554202E-1,9.897041933E0
3.892313650E-1,-9.990034252E-2,-9.887741089E0,-1.983051747E-1,9.890234014E0
3.916572510E-1,-1.070788130E-1,-9.892526627E0,-1.887338907E-1,9.894906236E0
3.940831360E-1,-1.022931710E-1,-9.916455269E0,-1.983051747E-1,9.918965366E0
3.965090210E-1,-1.022931710E-1,-9.933204651E0,-1.887338907E-1,9.935524093E0
3.989349070E-1,-1.118644550E-1,-9.911669731E0,-1.791625917E-1,9.913919999E0
4.013607920E-1,-9.990034252E-2,-9.923633575E0,-1.839482337E-1,9.925841041E0
4.037866780E-1,-1.070788130E-1,-9.902098656E0,-1.983051747E-1,9.904662973E0
4.062125630E-1,-1.214357466E-1,-9.894919395E0,-2.078764737E-1,9.897847701E0
4.086384490E-1,-9.511470050E-2,-9.918848038E0,-2.006980032E-1,9.921334229E0
4.110643340E-1,-1.262213886E-1,-9.914062500E0,-1.887338907E-1,9.916662119E0
4.134902190E-1,-1.286142170E-1,-9.916455269E0,-1.911267042E-1,9.919130815E0
4.159161050E-1,-1.070788130E-1,-9.916455269E0,-1.911267042E-1,9.918874956E0
4.183419900E-1,-9.990034252E-2,-9.902098656E0,-1.911267042E-1,9.904446844E0
4.207678760E-1,-9.032905847E-2,-9.921240807E0,-1.791625917E-1,9.923269507E0
4.231937610E-1,-6.400800496E-2,-9.909276962E0,-1.839482337E-1,9.911190841E0
4.256196460E-1,-7.836493850E-2,-9.940383911E0,-1.791625917E-1,9.942307207E0
4.280455320E-1,-1.094716340E-1,-9.899705887E0,-1.767697781E-1,9.901889125E0
4.304714170E-1,-9.990034252E-2,-9.923633575E0,-1.839482337E-1,9.925841041E0
4.328973030E-1,-8.793623000E-2,-9.906884193E0,-1.887338907E-1,9.909071989E0
