"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1733773431.271	"2024-12-09 21:43:51.271 UTC+02:00"
"PAUSE"	3.366892637E2	1733773767.960	"2024-12-09 21:49:27.960 UTC+02:00"
