"event","experiment time","system time","system time text"
"START",0.000000000E0,1734473210.051,"2024-12-18 00:06:50.051 UTC+02:00"
"PAUSE",5.036384789E0,1734473215.087,"2024-12-18 00:06:55.087 UTC+02:00"
