"event","experiment time","system time","system time text"
"START",0.000000000E0,1734599404.809,"2024-12-19 11:10:04.809 UTC+02:00"
"PAUSE",1.508972400E2,1734599555.706,"2024-12-19 11:12:35.706 UTC+02:00"
