"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.588902300E-2,-9.747162819E0,-1.983051747E-1,-2.153540403E-1,9.751558097E0
2.833313800E-2,-9.787840843E0,-8.793623000E-2,-3.158525825E-1,9.793330588E0
3.077636700E-2,-9.823733330E0,-5.922235921E-2,-3.445664644E-1,9.829952689E0
3.322053400E-2,-9.859625816E0,-3.490529954E-1,-4.235295951E-1,9.874889192E0
3.566542900E-2,-9.735198975E0,-1.094716340E-1,-4.067798555E-1,9.744308747E0
3.810954400E-2,-9.854840279E0,-1.839482337E-1,-2.775674164E-1,9.860464367E0
4.055282500E-2,-9.835697174E0,-1.624128371E-1,-2.392822653E-1,9.839947806E0
4.299699200E-2,-9.840482712E0,-1.959123611E-1,-3.349951804E-1,9.848131976E0
4.544188800E-2,-9.768698692E0,-1.286142170E-1,-3.302095234E-1,9.775124249E0
4.788600200E-2,-9.888339996E0,-1.839482337E-1,-2.751746178E-1,9.893878204E0
5.032923200E-2,-9.771091461E0,-2.198405862E-1,-3.158525825E-1,9.778666631E0
5.277339800E-2,-9.732806206E0,-1.429711580E-1,-3.732803464E-1,9.741011016E0
5.521829400E-2,-9.873982430E0,-2.174477577E-1,-4.761717021E-1,9.887848706E0
5.766240900E-2,-9.785448074E0,-1.695913076E-1,-4.570291340E-1,9.797582909E0
6.010569000E-2,-9.780662537E0,-1.671984792E-1,-3.589234054E-1,9.788674118E0
6.254985700E-2,-9.873982430E0,-2.198405862E-1,-3.732803464E-1,9.883481022E0
6.499475200E-2,-9.790233612E0,-1.743769497E-1,-3.900300860E-1,9.799551264E0
6.743886700E-2,-9.814162254E0,-1.959123611E-1,-4.187439680E-1,9.825044983E0
6.988214800E-2,-9.830911636E0,-1.935195327E-1,-3.924229145E-1,9.840643737E0
7.232626300E-2,-9.826126099E0,-1.815554202E-1,-4.331009090E-1,9.837341759E0
7.477115900E-2,-9.795019150E0,-1.671984792E-1,-3.852444589E-1,9.804017991E0
7.721527300E-2,-9.833304405E0,-1.863410622E-1,-3.828516304E-1,9.842518676E0
7.965855400E-2,-9.826126099E0,-1.767697781E-1,-4.283152521E-1,9.837045065E0
8.210272100E-2,-9.821340561E0,-1.983051747E-1,-3.637090325E-1,9.830073225E0
8.454761700E-2,-9.809376717E0,-1.935195327E-1,-3.780659735E-1,9.818566864E0
8.699173200E-2,-9.828518867E0,-2.222333997E-1,-3.876372576E-1,9.838670309E0
8.943501300E-2,-9.823733330E0,-1.815554202E-1,-4.115654826E-1,9.834026899E0
