"event","experiment time","system time","system time text"
"START",0.000000000E0,1734597300.243,"2024-12-19 10:35:00.243 UTC+02:00"
"PAUSE",9.518335622E0,1734597309.761,"2024-12-19 10:35:09.761 UTC+02:00"
