"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.689745200E-2,9.032905847E-2,-8.793623000E-2,9.870991707E0,9.871796665E0
2.934182700E-2,7.118647546E-2,-8.075776696E-2,9.875777245E0,9.876363983E0
3.178547300E-2,8.075776696E-2,-9.511470050E-2,9.890133858E0,9.890920905E0
3.422984800E-2,8.554340899E-2,-9.272187948E-2,9.863813400E0,9.864620105E0
3.667510900E-2,8.075776696E-2,-7.597211748E-2,9.868598938E0,9.869221782E0
3.911948400E-2,8.315058798E-2,-9.990034252E-2,9.890133858E0,9.890987909E0
4.156307700E-2,8.315058798E-2,-8.315058798E-2,9.868598938E0,9.869299521E0
4.400755700E-2,9.511470050E-2,-9.511470050E-2,9.878170013E0,9.879085809E0
4.645276500E-2,7.118647546E-2,-9.750752151E-2,9.873384476E0,9.874122555E0
4.889714000E-2,8.793623000E-2,-1.046859920E-1,9.875777245E0,9.876723552E0
5.134073400E-2,9.272187948E-2,-8.075776696E-2,9.878170013E0,9.878935265E0
5.378521300E-2,8.793623000E-2,-1.094716340E-1,9.890133858E0,9.891130600E0
5.623042100E-2,7.836493850E-2,-8.075776696E-2,9.885348320E0,9.885988787E0
5.867479600E-2,7.118647546E-2,-7.836493850E-2,9.911669731E0,9.912235138E0
6.111839000E-2,9.032905847E-2,-1.094716340E-1,9.885348320E0,9.886367118E0
6.356286900E-2,7.118647546E-2,-1.046859920E-1,9.873384476E0,9.874196052E0
6.600807700E-2,8.793623000E-2,-9.032905847E-2,9.875777245E0,9.876581813E0
6.845245200E-2,8.793623000E-2,-8.554340899E-2,9.861420631E0,9.862183700E0
7.089604600E-2,8.075776696E-2,-8.075776696E-2,9.894919395E0,9.895578481E0
7.334052500E-2,9.032905847E-2,-8.315058798E-2,9.887741089E0,9.888503284E0
7.578573400E-2,8.793623000E-2,-7.597211748E-2,9.861420631E0,9.862105324E0
7.823005700E-2,7.836493850E-2,-7.836493850E-2,9.885348320E0,9.885969529E0
8.067370200E-2,9.272187948E-2,-8.793623000E-2,9.878170013E0,9.878996555E0
8.311818200E-2,8.554340899E-2,-7.357929647E-2,9.870991707E0,9.871636585E0
8.556339000E-2,7.836493850E-2,-8.793623000E-2,9.892526627E0,9.893227830E0
8.800771300E-2,8.554340899E-2,-9.272187948E-2,9.873384476E0,9.874190399E0
9.045135900E-2,8.315058798E-2,-8.315058798E-2,9.875777245E0,9.876477319E0
9.289583800E-2,6.640082598E-2,-1.022931710E-1,9.902098656E0,9.902849628E0
9.534099400E-2,8.793623000E-2,-8.315058798E-2,9.878170013E0,9.878911358E0
9.778536900E-2,8.793623000E-2,-1.022931710E-1,9.878170013E0,9.879091025E0
1.002290150E-1,6.640082598E-2,-9.750752151E-2,9.902098656E0,9.902801350E0
1.026733900E-1,7.597211748E-2,-9.511470050E-2,9.861420631E0,9.862171943E0
1.051186500E-1,6.640082598E-2,-8.075776696E-2,9.868598938E0,9.869152744E0
1.075630250E-1,7.836493850E-2,-7.357929647E-2,9.870991707E0,9.871576989E0
1.100066710E-1,8.554340899E-2,-8.793623000E-2,9.878170013E0,9.878931788E0
1.124510460E-1,6.400800496E-2,-1.022931710E-1,9.894919395E0,9.895655146E0
1.148963070E-1,8.554340899E-2,-7.597211748E-2,9.906884193E0,9.907544795E0
1.173406820E-1,8.554340899E-2,-9.032905847E-2,9.885348320E0,9.886131115E0
1.197843270E-1,8.554340899E-2,-7.597211748E-2,9.882955551E0,9.883617752E0
1.222287020E-1,7.597211748E-2,-8.793623000E-2,9.882955551E0,9.883638751E0
1.246739630E-1,8.075776696E-2,-9.032905847E-2,9.859027863E0,9.859772388E0
1.271183380E-1,7.836493850E-2,-1.046859920E-1,9.906884193E0,9.907747203E0
1.295619320E-1,8.075776696E-2,-9.272187948E-2,9.914062500E0,9.914824982E0
1.320064110E-1,8.315058798E-2,-1.070788130E-1,9.892526627E0,9.893455562E0
1.344516190E-1,7.597211748E-2,-8.075776696E-2,9.906884193E0,9.907504630E0
1.368959940E-1,7.357929647E-2,-9.750752151E-2,9.894919395E0,9.895673371E0
1.393395880E-1,6.879365444E-2,-8.075776696E-2,9.906884193E0,9.907452185E0
1.417840670E-1,8.315058798E-2,-6.640082598E-2,9.868598938E0,9.869172614E0
1.442292750E-1,7.118647546E-2,-9.272187948E-2,9.897313118E0,9.898003426E0
1.466736500E-1,9.272187948E-2,-7.836493850E-2,9.882955551E0,9.883701171E0
1.491172440E-1,9.990034252E-2,-7.597211748E-2,9.892526627E0,9.893322743E0
1.515617230E-1,8.793623000E-2,-9.272187948E-2,9.875777245E0,9.876603987E0
1.540069320E-1,8.075776696E-2,-8.554340899E-2,9.880562782E0,9.881263097E0
1.564513070E-1,7.357929647E-2,-1.094716340E-1,9.890133858E0,9.891013380E0
1.588949000E-1,7.118647546E-2,-1.166501045E-1,9.885348320E0,9.886292843E0
1.613393790E-1,8.075776696E-2,-9.990034252E-2,9.863813400E0,9.864649851E0
1.637845880E-1,6.161518395E-2,-9.272187948E-2,9.856635094E0,9.857263776E0
1.662289630E-1,8.315058798E-2,-1.022931710E-1,9.899705887E0,9.900583546E0
1.686725570E-1,7.597211748E-2,-7.357929647E-2,9.882955551E0,9.883521442E0
1.711170360E-1,7.836493850E-2,-1.070788130E-1,9.880562782E0,9.881453731E0
1.735622440E-1,8.315058798E-2,-7.836493850E-2,9.890133858E0,9.890793841E0
1.760065670E-1,7.357929647E-2,-9.032905847E-2,9.887741089E0,9.888427433E0
1.784502130E-1,7.836493850E-2,-1.022931710E-1,9.873384476E0,9.874225335E0
1.808946920E-1,9.272187948E-2,-9.990034252E-2,9.875777245E0,9.876717755E0
1.833399000E-1,9.032905847E-2,-9.032905847E-2,9.875777245E0,9.876603407E0
1.857842230E-1,6.640082598E-2,-7.836493850E-2,9.880562782E0,9.881096651E0
1.882278690E-1,7.357929647E-2,-9.272187948E-2,9.878170013E0,9.878879191E0
1.906723480E-1,8.315058798E-2,-9.272187948E-2,9.890133858E0,9.890918011E0
1.931175570E-1,8.554340899E-2,-8.554340899E-2,9.899705887E0,9.900445040E0
1.955618790E-1,6.640082598E-2,-9.750752151E-2,9.880562782E0,9.881267008E0
1.980055250E-1,8.793623000E-2,-8.554340899E-2,9.892526627E0,9.893287296E0
2.004500040E-1,8.075776696E-2,-7.836493850E-2,9.892526627E0,9.893166628E0
2.028951610E-1,7.118647546E-2,-8.315058798E-2,9.870991707E0,9.871598595E0
2.053395360E-1,6.161518395E-2,-8.075776696E-2,9.870991707E0,9.871514348E0
2.077831820E-1,7.118647546E-2,-9.272187948E-2,9.887741089E0,9.888432065E0
2.102275570E-1,7.597211748E-2,-8.315058798E-2,9.899705887E0,9.900346581E0
2.126728170E-1,8.554340899E-2,-8.075776696E-2,9.887741089E0,9.888440895E0
2.151171920E-1,7.597211748E-2,-8.793623000E-2,9.880562782E0,9.881246148E0
2.175608380E-1,7.118647546E-2,-8.315058798E-2,9.861420631E0,9.862028108E0
2.200052130E-1,5.443671346E-2,-8.793623000E-2,9.890133858E0,9.890674591E0
2.224504730E-1,8.793623000E-2,-9.272187948E-2,9.887741089E0,9.888566831E0
2.248948480E-1,8.554340899E-2,-9.511470050E-2,9.873384476E0,9.874213158E0
2.273384420E-1,8.075776696E-2,-1.118644550E-1,9.868598938E0,9.869563337E0
2.297829210E-1,7.118647546E-2,-9.750752151E-2,9.882955551E0,9.883692916E0
2.322281290E-1,8.315058798E-2,-8.554340899E-2,9.878170013E0,9.878890348E0
2.346725040E-1,8.315058798E-2,-1.094716340E-1,9.878170013E0,9.879126524E0
2.371160980E-1,9.750752151E-2,-7.597211748E-2,9.887741089E0,9.888513706E0
2.395605770E-1,9.990034252E-2,-9.750752151E-2,9.861420631E0,9.862408664E0
2.420057860E-1,9.032905847E-2,-1.022931710E-1,9.873384476E0,9.874327533E0
2.444501610E-1,1.190429255E-1,-6.400800496E-2,9.875777245E0,9.876702103E0
2.468937540E-1,8.554340899E-2,-9.511470050E-2,9.885348320E0,9.886175999E0
2.493382340E-1,7.357929647E-2,-1.142572835E-1,9.887741089E0,9.888674961E0
2.517834420E-1,9.272187948E-2,-1.118644550E-1,9.878170013E0,9.879238524E0
2.542278170E-1,8.793623000E-2,-9.272187948E-2,9.887741089E0,9.888566831E0
2.566714110E-1,9.032905847E-2,-9.511470050E-2,9.887741089E0,9.888611125E0
2.591158900E-1,7.118647546E-2,-7.357929647E-2,9.892526627E0,9.893056377E0
2.615610980E-1,8.554340899E-2,-9.272187948E-2,9.892526627E0,9.893330990E0
2.640054210E-1,8.075776696E-2,-7.597211748E-2,9.904491425E0,9.905112011E0
2.664490670E-1,8.075776696E-2,-1.022931710E-1,9.868598938E0,9.869459494E0
2.688935460E-1,6.400800496E-2,-7.118647546E-2,9.892526627E0,9.892989821E0
2.713387540E-1,7.597211748E-2,-5.922235921E-2,9.894919395E0,9.895388264E0
2.737830770E-1,6.640082598E-2,-1.022931710E-1,9.902098656E0,9.902849628E0
2.762267230E-1,7.118647546E-2,-9.272187948E-2,9.890133858E0,9.890824667E0
2.786712020E-1,7.118647546E-2,-7.597211748E-2,9.875777245E0,9.876326010E0
2.811163590E-1,7.597211748E-2,-8.554340899E-2,9.880562782E0,9.881225143E0
2.835607340E-1,8.315058798E-2,-9.032905847E-2,9.890133858E0,9.890895869E0
2.860043790E-1,9.511470050E-2,-1.022931710E-1,9.868598938E0,9.869587413E0
2.884487540E-1,7.836493850E-2,-8.554340899E-2,9.870991707E0,9.871673415E0
2.908940150E-1,6.400800496E-2,-9.272187948E-2,9.914062500E0,9.914702700E0
2.933383900E-1,6.400800496E-2,-9.032905847E-2,9.882955551E0,9.883575608E0
2.957820360E-1,9.272187948E-2,-1.046859920E-1,9.909276962E0,9.910263691E0
2.982264110E-1,7.836493850E-2,-1.046859920E-1,9.890133858E0,9.890998329E0
3.006716710E-1,6.400800496E-2,-7.597211748E-2,9.878170013E0,9.878669526E0
3.031160460E-1,7.836493850E-2,-1.094716340E-1,9.890133858E0,9.891050138E0
3.055596400E-1,6.400800496E-2,-8.315058798E-2,9.890133858E0,9.890690510E0
3.080041190E-1,7.836493850E-2,-9.032905847E-2,9.906884193E0,9.907605908E0
3.104493270E-1,7.597211748E-2,-8.075776696E-2,9.885348320E0,9.885970109E0
3.128937020E-1,7.597211748E-2,-9.272187948E-2,9.890133858E0,9.890860268E0
3.153372960E-1,8.315058798E-2,-1.046859920E-1,9.863813400E0,9.864719356E0
3.177817750E-1,8.075776696E-2,-8.793623000E-2,9.892526627E0,9.893247073E0
3.202269840E-1,9.272187948E-2,-8.793623000E-2,9.892526627E0,9.893351969E0
3.226713590E-1,8.075776696E-2,-7.597211748E-2,9.882955551E0,9.883577490E0
3.251149520E-1,7.597211748E-2,-9.750752151E-2,9.878170013E0,9.878943379E0
3.275594320E-1,8.554340899E-2,-8.315058798E-2,9.878170013E0,9.878890348E0
3.300046400E-1,9.272187948E-2,-7.597211748E-2,9.902098656E0,9.902824188E0
3.324490150E-1,8.793623000E-2,-8.315058798E-2,9.904491425E0,9.905230799E0
3.348926090E-1,8.554340899E-2,-9.272187948E-2,9.890133858E0,9.890938416E0
3.373370880E-1,8.075776696E-2,-8.315058798E-2,9.863813400E0,9.864494444E0
3.397822960E-1,7.597211748E-2,-8.793623000E-2,9.890133858E0,9.890816562E0
3.422266710E-1,9.272187948E-2,-6.879365444E-2,9.887741089E0,9.888415129E0
3.446702650E-1,9.511470050E-2,-9.511470050E-2,9.885348320E0,9.886263451E0
3.471147440E-1,9.272187948E-2,-9.032905847E-2,9.885348320E0,9.886195835E0
3.495599520E-1,8.554340899E-2,-8.075776696E-2,9.890133858E0,9.890833494E0
3.520042750E-1,6.879365444E-2,-9.511470050E-2,9.882955551E0,9.883652655E0
3.544479210E-1,9.511470050E-2,-8.793623000E-2,9.890133858E0,9.890982121E0
3.568924000E-1,8.315058798E-2,-9.032905847E-2,9.878170013E0,9.878932947E0
3.593376090E-1,9.750752151E-2,-7.357929647E-2,9.873384476E0,9.874140096E0
3.617819320E-1,7.357929647E-2,-8.315058798E-2,9.882955551E0,9.883579228E0
3.642255770E-1,7.118647546E-2,-7.597211748E-2,9.885348320E0,9.885896554E0
3.666699520E-1,5.682953820E-2,-9.032905847E-2,9.880562782E0,9.881139096E0
3.691152130E-1,7.118647546E-2,-9.990034252E-2,9.882955551E0,9.883716812E0
3.715595880E-1,7.836493850E-2,-8.315058798E-2,9.873384476E0,9.874045579E0
3.740032340E-1,8.793623000E-2,-9.272187948E-2,9.890133858E0,9.890959400E0
3.764476090E-1,7.597211748E-2,-1.046859920E-1,9.882955551E0,9.883801968E0
3.788928690E-1,1.022931710E-1,-9.990034252E-2,9.892526627E0,9.893559876E0
3.813372440E-1,9.750752151E-2,-9.750752151E-2,9.878170013E0,9.879132464E0
3.837808380E-1,9.032905847E-2,-1.094716340E-1,9.880562782E0,9.881582073E0
3.862253170E-1,8.075776696E-2,-1.094716340E-1,9.887741089E0,9.888676843E0
3.886705250E-1,8.075776696E-2,-8.793623000E-2,9.894919395E0,9.895639668E0
3.911149000E-1,8.554340899E-2,-9.511470050E-2,9.880562782E0,9.881390862E0
3.935584940E-1,9.750752151E-2,-9.032905847E-2,9.882955551E0,9.883849325E0
3.960029730E-1,7.836493850E-2,-9.750752151E-2,9.878170013E0,9.878962071E0
3.984481820E-1,9.511470050E-2,-9.511470050E-2,9.868598938E0,9.869515622E0
4.008925570E-1,7.118647546E-2,-9.511470050E-2,9.904491425E0,9.905203920E0
4.033361500E-1,8.554340899E-2,-1.046859920E-1,9.894919395E0,9.895842899E0
4.057806290E-1,5.682953820E-2,-8.315058798E-2,9.875777245E0,9.876290792E0
4.082258380E-1,7.357929647E-2,-8.793623000E-2,9.880562782E0,9.881228040E0
4.106702130E-1,7.836493850E-2,-7.836493850E-2,9.870991707E0,9.871613820E0
4.131138070E-1,7.357929647E-2,-8.554340899E-2,9.868598938E0,9.869243972E0
4.155582860E-1,9.272187948E-2,-9.272187948E-2,9.897313118E0,9.898181735E0
4.180034940E-1,5.922235921E-2,-8.315058798E-2,9.873384476E0,9.873912209E0
4.204478690E-1,5.922235921E-2,-9.032905847E-2,9.880562782E0,9.881153147E0
