"event","experiment time","system time","system time text"
"START",0.000000000E0,1734510010.612,"2024-12-18 10:20:10.612 UTC+02:00"
"PAUSE",3.000566176E2,1734510310.669,"2024-12-18 10:25:10.669 UTC+02:00"
