"event","experiment time","system time","system time text"
"START",0.000000000E0,1734597518.498,"2024-12-19 10:38:38.498 UTC+02:00"
"PAUSE",7.290026611E0,1734597525.788,"2024-12-19 10:38:45.788 UTC+02:00"
