"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.211846050E-1,-5.344967842E-1,2.318047047E0,9.327521324E0
2.236298130E-1,-5.153541565E-1,2.263011932E0,9.372985840E0
2.260741880E-1,-4.722833633E-1,2.193620205E0,9.413662910E0
2.285178340E-1,-4.459623098E-1,2.145763636E0,9.480662346E0
2.309623130E-1,-3.885345757E-1,2.028216362E0,9.528518677E0
2.334075210E-1,-2.952145040E-1,1.922932148E0,9.588339806E0
2.358518960E-1,-1.085743308E-1,1.736291885E0,9.598209381E0
2.382955420E-1,4.725824669E-2,1.595115423E0,9.648459435E0
2.407400210E-1,2.530409992E-1,1.393819213E0,9.665208817E0
2.431852300E-1,4.540380836E-1,1.140179992E0,9.698708534E0
2.456296050E-1,6.170491576E-1,9.101698995E-1,9.760921478E0
2.480732510E-1,7.845467329E-1,6.517450809E-1,9.818349838E0
2.505177300E-1,7.917252183E-1,4.938187599E-1,9.854242325E0
2.529629380E-1,7.007979155E-1,4.339981973E-1,9.897313118E0
2.554073130E-1,4.875376225E-1,4.746761918E-1,9.916455269E0
2.578509590E-1,1.980060786E-1,5.823532343E-1,9.937990189E0
2.602954380E-1,-9.661021084E-2,7.522436380E-1,9.959526062E0
2.627406460E-1,-4.076771438E-1,1.010967612E0,9.969097137E0
2.651850210E-1,-7.214360237E-1,1.331605792E0,9.976275444E0
2.676286670E-1,-1.025324464E0,1.654935956E0,9.978668213E0
2.700731460E-1,-1.276870012E0,2.040180445E0,1.001695347E1
2.725183550E-1,-1.559223056E0,2.444866419E0,1.004566765E1
2.749627300E-1,-1.820339799E0,2.823231697E0,1.002173901E1
2.774063760E-1,-2.033301115E0,3.237488985E0,1.000977516E1
2.798508550E-1,-2.246262312E0,3.613162279E0,9.966704369E0
2.822960630E-1,-2.457129717E0,3.946063757E0,9.945169449E0
2.847404380E-1,-2.677269459E0,4.245166302E0,9.811170578E0
2.871840320E-1,-2.849552631E0,4.508676052E0,9.677172661E0
2.896285630E-1,-3.038884640E0,4.807778835E0,9.432806015E0
2.920737710E-1,-3.220739365E0,5.047360420E0,9.231808662E0
2.945181460E-1,-3.369094372E0,5.279464245E0,9.102596283E0
2.969617920E-1,-3.529712439E0,5.471189022E0,8.963513374E0
2.994061670E-1,-3.687638760E0,5.657829285E0,8.839086533E0
3.018514800E-1,-3.833600998E0,5.736792088E0,8.762516975E0
3.042958550E-1,-3.912564039E0,5.842076302E0,8.719446182E0
3.067394490E-1,-3.965206146E0,5.925825119E0,8.736195564E0
3.091839280E-1,-3.981956005E0,6.014359951E0,8.757730484E0
3.116291880E-1,-3.974777460E0,6.052944183E0,8.841479301E0
3.140735630E-1,-3.941277981E0,6.016752720E0,8.968298912E0
3.165171570E-1,-3.898207188E0,5.997610092E0,9.145667076E0
3.189616360E-1,-3.847957850E0,5.961717606E0,9.349057198E0
3.214068960E-1,-3.800101519E0,5.911468506E0,9.535696983E0
3.238512710E-1,-3.759423494E0,5.854040623E0,9.705886841E0
3.262948650E-1,-3.728316784E0,5.810969830E0,9.856635094E0
3.287393440E-1,-3.725924015E0,5.760720730E0,9.949954987E0
3.311846050E-1,-3.737888098E0,5.693721294E0,1.003848934E1
3.336289800E-1,-3.752244949E0,5.617151260E0,1.012941647E1
3.360725740E-1,-3.745066643E0,5.516652584E0,1.018953609E1
3.385170530E-1,-3.790530205E0,5.413462162E0,1.024935627E1
3.409623130E-1,-3.852743626E0,5.334498882E0,1.027089214E1
3.434066880E-1,-3.960420609E0,5.272285461E0,1.030439186E1
3.458502820E-1,-4.094717979E0,5.217250824E0,1.034028435E1
3.482947610E-1,-4.312464714E0,5.188536644E0,1.037617588E1
3.507400210E-1,-4.515854359E0,5.169394016E0,1.038335514E1
3.531843440E-1,-4.750650406E0,5.145465851E0,1.039771175E1
3.556279900E-1,-4.968397141E0,5.200500965E0,1.030678463E1
3.580724690E-1,-5.167300701E0,5.210072041E0,1.021585751E1
3.605177300E-1,-5.286941528E0,5.253142834E0,1.010788059E1
3.629621050E-1,-5.346762180E0,5.284249783E0,1.001456070E1
3.654056990E-1,-5.394618511E0,5.310570717E0,9.887741089E0
3.678501780E-1,-5.346762180E0,5.317749023E0,9.815957069E0
3.702954380E-1,-5.263013363E0,5.277071476E0,9.746564865E0
3.727398130E-1,-5.181657314E0,5.267499924E0,9.686744690E0
3.751834070E-1,-5.061717033E0,5.162215710E0,9.634101868E0
3.776278860E-1,-4.966004372E0,4.999503613E0,9.521340370E0
3.800731460E-1,-4.834399223E0,4.836492538E0,9.430413246E0
3.825175210E-1,-4.678865433E0,4.613960266E0,9.382556915E0
3.849611150E-1,-4.405784607E0,4.386641979E0,9.351449966E0
3.874055940E-1,-4.128217220E0,4.151846409E0,9.368199348E0
3.898508550E-1,-3.816851139E0,3.891028643E0,9.370592117E0
3.922952300E-1,-3.477070332E0,3.594019651E0,9.253344536E0
3.947388240E-1,-3.153740168E0,3.318845034E0,9.076275826E0
3.971833030E-1,-2.878565550E0,3.036192894E0,8.860622406E0
3.996285630E-1,-2.638984203E0,2.765803814E0,8.626125336E0
4.020729380E-1,-2.349452734E0,2.478366137E0,8.388936996E0
4.045165320E-1,-2.052443504E0,2.181656122E0,8.197511673E0
4.069610110E-1,-1.743769526E0,1.834397674E0,8.056334496E0
4.094062710E-1,-1.391725421E0,1.475175142E0,7.982157230E0
4.118506460E-1,-9.415757060E-1,1.097109199E0,7.967800140E0
4.142942400E-1,-4.674977362E-1,6.972087026E-1,7.986942768E0
4.167387190E-1,1.142572835E-1,2.566302419E-1,8.020442009E0
4.191839280E-1,7.366902828E-1,-2.389831543E-1,8.137690544E0
4.216284070E-1,1.435693622E0,-7.920243144E-1,8.259724617E0
4.240719490E-1,2.192423820E0,-1.395314693E0,8.403293610E0
4.265164280E-1,2.934497833E0,-2.015354872E0,8.551948547E0
4.289616360E-1,3.700500250E0,-2.668894529E0,8.784051895E0
4.314060110E-1,4.399503708E0,-3.317648649E0,9.011369705E0
4.338496570E-1,5.132305622E0,-3.961616993E0,9.241379738E0
4.362941360E-1,5.840879917E0,-4.607978344E0,9.497411728E0
4.387393960E-1,6.518348217E0,-5.233103275E0,9.818349838E0
4.411837190E-1,7.239185810E0,-5.824429512E0,1.010788059E1
4.436273650E-1,7.962117195E0,-6.420541286E0,1.040010452E1
4.460718440E-1,8.740083694E0,-7.016653538E0,1.074257755E1
4.485170530E-1,9.479764938E0,-7.629515171E0,1.111107159E1
4.509614280E-1,1.027717304E1,-8.283054352E0,1.146550846E1
4.534050740E-1,1.109581757E1,-8.958129883E0,1.176461124E1
4.558495530E-1,1.197697449E1,-9.661918640E0,1.203529930E1
4.582947610E-1,1.280279732E1,-1.038036346E1,1.220279694E1
4.607391360E-1,1.365045452E1,-1.110090256E1,1.227697468E1
4.631827820E-1,1.443320751E1,-1.175922775E1,1.238225937E1
4.656272610E-1,1.518754482E1,-1.245344543E1,1.240170097E1
4.680724690E-1,1.592722607E1,-1.307139206E1,1.241605759E1
4.705168440E-1,1.667408562E1,-1.366511059E1,1.242323589E1
4.729604900E-1,1.735663795E1,-1.428754425E1,1.242562866E1
4.754049690E-1,1.797428513E1,-1.488365555E1,1.243998623E1
4.778501780E-1,1.853929138E1,-1.550848198E1,1.246869946E1
4.802945530E-1,1.900349808E1,-1.610220146E1,1.246391392E1
4.827381990E-1,1.942971992E1,-1.672941971E1,1.249502087E1
4.851826780E-1,1.978894234E1,-1.730160332E1,1.252134132E1
4.876278860E-1,2.012632942E1,-1.786182213E1,1.248544979E1
4.900722610E-1,2.047119522E1,-1.832872200E1,1.238225937E1
4.925159070E-1,2.080648994E1,-1.873101616E1,1.222433281E1
4.949603860E-1,2.105055809E1,-1.904208183E1,1.193719387E1
4.974055940E-1,2.121805573E1,-1.930080605E1,1.159711361E1
4.998499690E-1,2.125634003E1,-1.948266029E1,1.107996559E1
5.022936150E-1,2.113669968E1,-1.956162453E1,1.050299549E1
5.047380940E-1,2.084956169E1,-1.961187363E1,9.811170578E0
5.071833030E-1,2.038026810E1,-1.964776611E1,9.045168877E0
5.096276780E-1,1.978894234E1,-1.962383842E1,8.269295692E0
5.120713240E-1,1.907318878E1,-1.954726791E1,7.467401028E0
5.145158030E-1,1.822074699E1,-1.940369797E1,6.681957245E0
5.169610110E-1,1.732523155E1,-1.921915054E1,5.966204166E0
5.194053860E-1,1.636780357E1,-1.897747612E1,5.307878971E0
5.218490320E-1,1.537179184E1,-1.867598152E1,4.711766720E0
5.242935110E-1,1.433270836E1,-1.835982895E1,4.211368084E0
5.267387190E-1,1.331755352E1,-1.798146439E1,3.809074640E0
5.291830940E-1,1.231944752E1,-1.758425522E1,3.536292791E0
5.316267400E-1,1.126840019E1,-1.718674850E1,3.399602890E0
5.340712190E-1,1.023170948E1,-1.677727509E1,3.419044495E0
5.365164280E-1,9.175876617E0,-1.635584068E1,3.553042412E0
5.389608030E-1,8.103293419E0,-1.590120411E1,3.742075443E0
5.414044490E-1,7.025925636E0,-1.546301842E1,4.022335052E0
5.438489280E-1,5.855237007E0,-1.499851131E1,4.280759811E0
5.462941360E-1,4.643870354E0,-1.451486206E1,4.517649174E0
5.487385110E-1,3.343969584E0,-1.394985676E1,4.711766720E0
5.511821570E-1,1.979163408E0,-1.333938789E1,4.886443138E0
5.536266360E-1,5.069792867E-1,-1.267866993E1,5.037190914E0
5.560718440E-1,-1.020538807E0,-1.194377422E1,5.181059361E0
5.585162190E-1,-2.552842617E0,-1.109133148E1,5.317450047E0
5.609598650E-1,-4.133002758E0,-1.017906761E1,5.520840168E0
5.634043440E-1,-5.725127220E0,-9.161818504E0,5.786742687E0
5.658495530E-1,-7.321738243E0,-8.048558235E0,6.081059456E0
5.682939280E-1,-8.923434258E0,-6.911369324E0,6.390032768E0
5.707375740E-1,-1.054187965E1,-5.659025669E0,6.763313293E0
5.731820530E-1,-1.219382381E1,-4.323232174E0,7.158428192E0
5.756272610E-1,-1.386730480E1,-2.941676378E0,7.493722439E0
5.780716360E-1,-1.550010681E1,-1.512562990E0,7.838288784E0
5.805152820E-1,-1.711376572E1,-9.272187948E-2,8.223832130E0
5.829597610E-1,-1.866282082E1,1.338784218E0,8.616554260E0
5.854049690E-1,-2.011586189E1,2.725125790E0,9.049954414E0
5.878493440E-1,-2.148306084E1,4.084847450E0,9.591031075E0
5.902929900E-1,-2.281885338E1,5.444568634E0,1.018235779E1
5.927374690E-1,-2.410679054E1,6.840481758E0,1.093161011E1
5.951826780E-1,-2.537827682E1,8.216953278E0,1.178136158E1
5.976270530E-1,-2.664467812E1,9.567401886E0,1.270798206E1
6.000706990E-1,-2.780340195E1,1.091994476E1,1.366810226E1
6.025151780E-1,-2.884966469E1,1.223210907E1,1.462313747E1
6.049603860E-1,-2.982414055E1,1.348415375E1,1.554736519E1
6.074047610E-1,-3.066432190E1,1.469791317E1,1.643330765E1
6.098484070E-1,-3.150001526E1,1.586142349E1,1.718973923E1
6.122928860E-1,-3.230430222E1,1.696989822E1,1.789591980E1
6.147380940E-1,-3.309423447E1,1.805444527E1,1.850399590E1
6.171824690E-1,-3.372175217E1,1.905763626E1,1.903550148E1
6.196261150E-1,-3.424817276E1,1.995045853E1,1.948565292E1
6.220705940E-1,-3.462653732E1,2.070479584E1,1.993101692E1
6.245158030E-1,-3.495943832E1,2.129133606E1,2.033330917E1
6.269601780E-1,-3.518675613E1,2.173400879E1,2.063480568E1
6.294038240E-1,-3.534946823E1,2.205015945E1,2.091506386E1
6.318483030E-1,-3.544548035E1,2.222244263E1,2.103231239E1
6.342935110E-1,-3.542394638E1,2.226312065E1,2.100838470E1
6.367378860E-1,-3.521786118E1,2.216501617E1,2.085285187E1
6.391815320E-1,-3.489483261E1,2.198794556E1,2.049123573E1
6.416260110E-1,-3.442793274E1,2.163350868E1,2.000279999E1
6.440712190E-1,-3.391556931E1,2.122673035E1,1.938515282E1
6.465155940E-1,-3.338645554E1,2.075265121E1,1.870289993E1
6.489592400E-1,-3.281427383E1,2.022114563E1,1.802543259E1
6.514037190E-1,-3.224687576E1,1.962742615E1,1.728305817E1
6.538489280E-1,-3.161008453E1,1.895474434E1,1.659123421E1
6.562933030E-1,-3.091317558E1,1.820519257E1,1.601187134E1
6.587369490E-1,-3.017110062E1,1.739612007E1,1.553779411E1
6.611814280E-1,-2.944099045E1,1.653171349E1,1.515225029E1
6.636266360E-1,-2.874677277E1,1.562931919E1,1.486989689E1
6.660710110E-1,-2.807618523E1,1.464527130E1,1.465215015E1
6.685146570E-1,-2.737957382E1,1.370190048E1,1.442692566E1
