"event","experiment time","system time","system time text"
"START",0.000000000E0,1734477676.678,"2024-12-18 01:21:16.678 UTC+02:00"
"PAUSE",3.000427329E2,1734477976.721,"2024-12-18 01:26:16.721 UTC+02:00"
