"event","experiment time","system time","system time text"
"START",0.000000000E0,1734598886.886,"2024-12-19 11:01:26.886 UTC+02:00"
"PAUSE",7.553781977E0,1734598894.440,"2024-12-19 11:01:34.440 UTC+02:00"
