"event","experiment time","system time","system time text"
"START",0.000000000E0,1734600125.360,"2024-12-19 11:22:05.360 UTC+02:00"
"PAUSE",6.557327451E1,1734600190.934,"2024-12-19 11:23:10.934 UTC+02:00"
