"event","experiment time","system time","system time text"
"START",0.000000000E0,1733954720.974,"2024-12-12 00:05:20.974 UTC+02:00"
"PAUSE",5.028959217E0,1733954726.003,"2024-12-12 00:05:26.003 UTC+02:00"
