"event","experiment time","system time","system time text"
"START",0.000000000E0,1733951552.174,"2024-12-11 23:12:32.174 UTC+02:00"
"PAUSE",2.202564450E2,1733951772.431,"2024-12-11 23:16:12.431 UTC+02:00"
