"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1733857898.862	"2024-12-10 21:11:38.862 UTC+02:00"
"PAUSE"	3.102442998E2	1733858209.107	"2024-12-10 21:16:49.107 UTC+02:00"
