"event","experiment time","system time","system time text"
"START",0.000000000E0,1734598270.340,"2024-12-19 10:51:10.340 UTC+02:00"
"PAUSE",6.259722779E1,1734598332.937,"2024-12-19 10:52:12.937 UTC+02:00"
