"event","experiment time","system time","system time text"
"START",0.000000000E0,1733954239.188,"2024-12-11 23:57:19.188 UTC+02:00"
"PAUSE",6.003422118E1,1733954299.223,"2024-12-11 23:58:19.223 UTC+02:00"
