"event","experiment time","system time","system time text"
"START",0.000000000E0,1734600267.183,"2024-12-19 11:24:27.183 UTC+02:00"
"PAUSE",7.323911663E0,1734600274.507,"2024-12-19 11:24:34.507 UTC+02:00"
