"event","experiment time","system time","system time text"
"START",0.000000000E0,1734509463.660,"2024-12-18 10:11:03.660 UTC+02:00"
"PAUSE",6.275510930E1,1734509526.415,"2024-12-18 10:12:06.415 UTC+02:00"
"START",6.275510930E1,1734509541.733,"2024-12-18 10:12:21.733 UTC+02:00"
"PAUSE",1.514375813E2,1734509630.415,"2024-12-18 10:13:50.415 UTC+02:00"
