"event","experiment time","system time","system time text"
"START",0.000000000E0,1734600337.277,"2024-12-19 11:25:37.277 UTC+02:00"
"PAUSE",3.267304488E1,1734600369.950,"2024-12-19 11:26:09.950 UTC+02:00"
