"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.188964260E-1,1.527118147E-4,1.832541777E-3,-2.290677279E-3
1.213407490E-1,1.527118147E-4,-6.108472589E-4,1.527118147E-4
1.237841870E-1,1.374406274E-3,-6.108472589E-4,1.527118147E-4
1.262285620E-1,1.527118147E-4,6.108472589E-4,-2.290677279E-3
1.286736660E-1,1.527118147E-4,6.108472589E-4,-1.068982761E-3
1.311179890E-1,1.527118147E-4,6.108472589E-4,1.527118147E-4
1.335614260E-1,1.527118147E-4,6.108472589E-4,1.527118147E-4
1.360058010E-1,1.527118147E-4,6.108472589E-4,1.374406274E-3
1.384508540E-1,1.527118147E-4,1.832541777E-3,1.527118147E-4
1.408951760E-1,-1.068982761E-3,6.108472589E-4,-1.068982761E-3
1.433386660E-1,1.374406274E-3,-6.108472589E-4,1.527118147E-4
1.457829890E-1,1.527118147E-4,6.108472589E-4,2.596100792E-3
1.482280930E-1,1.527118147E-4,-1.832541777E-3,-1.068982761E-3
1.506724160E-1,1.527118147E-4,6.108472589E-4,1.527118147E-4
1.531158540E-1,1.527118147E-4,6.108472589E-4,1.527118147E-4
1.555602290E-1,-2.290677279E-3,-6.108472589E-4,-2.290677279E-3
1.580053330E-1,1.374406274E-3,-1.832541777E-3,5.039489828E-3
1.604496040E-1,1.527118147E-4,-1.832541777E-3,-2.290677279E-3
1.628930930E-1,-2.290677279E-3,-6.108472589E-4,-2.290677279E-3
1.653374160E-1,-1.068982761E-3,3.054236295E-3,-3.512371797E-3
1.677825200E-1,1.374406274E-3,6.108472589E-4,1.527118147E-4
1.702268430E-1,-1.068982761E-3,6.108472589E-4,-2.290677279E-3
1.726702810E-1,1.527118147E-4,1.832541777E-3,1.374406274E-3
1.751146560E-1,-1.068982761E-3,-6.108472589E-4,1.374406274E-3
1.775597600E-1,-2.290677279E-3,6.108472589E-4,-3.512371797E-3
1.800040830E-1,-1.068982761E-3,6.108472589E-4,-1.068982761E-3
1.824475200E-1,-1.068982761E-3,1.832541777E-3,-2.290677279E-3
1.848918950E-1,1.527118147E-4,-6.108472589E-4,1.527118147E-4
1.873369990E-1,2.596100792E-3,-6.108472589E-4,1.374406274E-3
1.897812700E-1,-1.068982761E-3,6.108472589E-4,-4.734066315E-3
1.922247600E-1,1.527118147E-4,-1.832541777E-3,1.374406274E-3
1.946690830E-1,-1.068982761E-3,-6.108472589E-4,-3.512371797E-3
1.971141870E-1,-1.068982761E-3,1.832541777E-3,-2.290677279E-3
1.995585100E-1,1.527118147E-4,-6.108472589E-4,-3.512371797E-3
2.020019470E-1,1.527118147E-4,-1.832541777E-3,1.374406274E-3
2.044463220E-1,1.527118147E-4,-1.832541777E-3,1.527118147E-4
2.068914260E-1,-1.068982761E-3,-6.108472589E-4,-2.290677279E-3
2.093356970E-1,-1.068982761E-3,1.832541777E-3,-2.290677279E-3
2.117791870E-1,-2.290677279E-3,6.108472589E-4,-4.734066315E-3
2.142235620E-1,1.374406274E-3,-6.108472589E-4,-2.290677279E-3
2.166686140E-1,-1.068982761E-3,6.108472589E-4,-1.068982761E-3
2.191129370E-1,1.527118147E-4,-6.108472589E-4,1.374406274E-3
2.215564260E-1,-2.290677279E-3,6.108472589E-4,-5.955760833E-3
2.240007490E-1,-1.068982761E-3,-6.108472589E-4,1.527118147E-4
2.264458540E-1,1.527118147E-4,3.054236295E-3,-2.290677279E-3
2.288901760E-1,1.374406274E-3,3.054236295E-3,1.527118147E-4
2.313336140E-1,-2.290677279E-3,1.832541777E-3,-4.734066315E-3
2.337779890E-1,-2.290677279E-3,-6.108472589E-4,-3.512371797E-3
2.362230930E-1,1.527118147E-4,-1.832541777E-3,-1.068982761E-3
2.386673640E-1,1.374406274E-3,-3.054236295E-3,1.374406274E-3
2.411108540E-1,1.527118147E-4,-6.108472589E-4,1.527118147E-4
2.435551760E-1,1.527118147E-4,-6.108472589E-4,-3.512371797E-3
2.460002810E-1,1.527118147E-4,6.108472589E-4,-1.068982761E-3
2.484446040E-1,-1.068982761E-3,1.832541777E-3,-1.068982761E-3
2.508880410E-1,1.527118147E-4,-6.108472589E-4,1.374406274E-3
2.533324160E-1,1.527118147E-4,-6.108472589E-4,3.817795310E-3
2.557775200E-1,-1.068982761E-3,-6.108472589E-4,-1.068982761E-3
2.582218430E-1,1.527118147E-4,-1.832541777E-3,-1.068982761E-3
2.606652810E-1,1.527118147E-4,-6.108472589E-4,1.374406274E-3
2.631096560E-1,-1.068982761E-3,-6.108472589E-4,1.527118147E-4
2.655547600E-1,-2.290677279E-3,6.108472589E-4,-2.290677279E-3
2.679990310E-1,-2.290677279E-3,6.108472589E-4,-2.290677279E-3
2.704425200E-1,-1.068982761E-3,-6.108472589E-4,-1.068982761E-3
2.728868430E-1,2.596100792E-3,-1.832541777E-3,1.527118147E-4
2.753319470E-1,1.374406274E-3,-6.108472589E-4,-1.068982761E-3
2.777762700E-1,1.527118147E-4,6.108472589E-4,-2.290677279E-3
2.802197080E-1,-1.068982761E-3,1.832541777E-3,-2.290677279E-3
2.826640830E-1,1.374406274E-3,-6.108472589E-4,1.374406274E-3
2.851091870E-1,1.374406274E-3,-6.108472589E-4,1.374406274E-3
2.875534580E-1,1.527118147E-4,6.108472589E-4,-2.290677279E-3
2.899969470E-1,1.527118147E-4,6.108472589E-4,-1.068982761E-3
2.924413220E-1,-2.290677279E-3,6.108472589E-4,-1.068982761E-3
2.948863740E-1,1.527118147E-4,6.108472589E-4,-1.068982761E-3
2.973306970E-1,1.527118147E-4,6.108472589E-4,-1.068982761E-3
2.997741350E-1,-1.068982761E-3,1.832541777E-3,-2.290677279E-3
3.022185100E-1,-3.512371797E-3,-6.108472589E-4,-3.512371797E-3
3.046636140E-1,-1.068982761E-3,6.108472589E-4,-4.734066315E-3
3.071079370E-1,2.596100792E-3,6.108472589E-4,3.817795310E-3
3.095513740E-1,1.374406274E-3,6.108472589E-4,3.817795310E-3
3.119957490E-1,-2.290677279E-3,-6.108472589E-4,-1.068982761E-3
3.144408540E-1,1.527118147E-4,1.832541777E-3,-1.068982761E-3
3.168851240E-1,1.527118147E-4,6.108472589E-4,-1.068982761E-3
3.193286140E-1,1.527118147E-4,-6.108472589E-4,1.527118147E-4
3.217729370E-1,-1.068982761E-3,-1.832541777E-3,-1.068982761E-3
3.242180410E-1,1.527118147E-4,-6.108472589E-4,-3.512371797E-3
3.266623640E-1,1.527118147E-4,1.832541777E-3,-3.512371797E-3
3.291058010E-1,1.374406274E-3,6.108472589E-4,2.596100792E-3
3.315501760E-1,2.596100792E-3,-1.832541777E-3,2.596100792E-3
3.339952810E-1,-1.068982761E-3,-6.108472589E-4,-4.734066315E-3
3.364396040E-1,1.374406274E-3,6.108472589E-4,1.527118147E-4
3.388830410E-1,2.596100792E-3,-1.832541777E-3,2.596100792E-3
3.413274160E-1,-1.068982761E-3,-6.108472589E-4,-1.068982761E-3
3.437724680E-1,1.527118147E-4,-6.108472589E-4,-2.290677279E-3
3.462167910E-1,1.527118147E-4,-1.832541777E-3,1.374406274E-3
3.486602810E-1,1.527118147E-4,-6.108472589E-4,1.374406274E-3
3.511046040E-1,-1.068982761E-3,-6.108472589E-4,1.527118147E-4
3.535497080E-1,1.527118147E-4,-6.108472589E-4,-2.290677279E-3
3.559940310E-1,1.527118147E-4,6.108472589E-4,-1.068982761E-3
3.584374680E-1,-1.068982761E-3,-6.108472589E-4,1.527118147E-4
3.608818430E-1,1.527118147E-4,-6.108472589E-4,-3.512371797E-3
3.633269470E-1,-1.068982761E-3,6.108472589E-4,-4.734066315E-3
3.657712180E-1,1.527118147E-4,6.108472589E-4,1.527118147E-4
3.682147080E-1,1.527118147E-4,-6.108472589E-4,1.527118147E-4
3.706590310E-1,1.527118147E-4,6.108472589E-4,1.527118147E-4
3.731041350E-1,-1.068982761E-3,-6.108472589E-4,-1.068982761E-3
3.755484580E-1,-1.068982761E-3,6.108472589E-4,-2.290677279E-3
3.779918950E-1,1.374406274E-3,-6.108472589E-4,1.527118147E-4
3.804362700E-1,1.527118147E-4,-6.108472589E-4,1.527118147E-4
3.828813740E-1,1.527118147E-4,-6.108472589E-4,1.374406274E-3
3.853256970E-1,1.374406274E-3,1.832541777E-3,1.374406274E-3
3.877691350E-1,1.374406274E-3,-6.108472589E-4,-1.068982761E-3
3.902135100E-1,2.596100792E-3,-1.832541777E-3,1.527118147E-4
3.926586140E-1,2.596100792E-3,-1.832541777E-3,-1.068982761E-3
3.951028850E-1,-1.068982761E-3,-6.108472589E-4,-3.512371797E-3
3.975463740E-1,1.527118147E-4,6.108472589E-4,1.527118147E-4
3.999906970E-1,-1.068982761E-3,6.108472589E-4,-1.068982761E-3
4.024358010E-1,1.527118147E-4,-6.108472589E-4,-2.290677279E-3
4.048801240E-1,-1.068982761E-3,-6.108472589E-4,-2.290677279E-3
4.073235620E-1,2.596100792E-3,-3.054236295E-3,-1.068982761E-3
4.097679370E-1,1.527118147E-4,6.108472589E-4,-1.068982761E-3
4.122130410E-1,1.527118147E-4,-6.108472589E-4,2.596100792E-3
4.146573640E-1,1.374406274E-3,-1.832541777E-3,2.596100792E-3
4.171008010E-1,1.374406274E-3,6.108472589E-4,1.374406274E-3
4.195451760E-1,1.527118147E-4,6.108472589E-4,-1.068982761E-3
4.219902290E-1,-1.068982761E-3,-6.108472589E-4,-1.068982761E-3
4.244345510E-1,1.527118147E-4,-6.108472589E-4,1.374406274E-3
4.268780410E-1,-1.068982761E-3,-6.108472589E-4,-3.512371797E-3
4.293223640E-1,1.527118147E-4,-1.832541777E-3,1.527118147E-4
4.317674680E-1,1.527118147E-4,1.832541777E-3,1.374406274E-3
4.342117910E-1,1.374406274E-3,-6.108472589E-4,-1.068982761E-3
4.366552290E-1,1.374406274E-3,-6.108472589E-4,-1.068982761E-3
4.390996040E-1,1.374406274E-3,-1.832541777E-3,1.374406274E-3
4.415447080E-1,1.527118147E-4,-1.832541777E-3,2.596100792E-3
4.439889790E-1,1.527118147E-4,-6.108472589E-4,-1.068982761E-3
4.464324680E-1,1.527118147E-4,-6.108472589E-4,-1.068982761E-3
4.488767910E-1,-1.068982761E-3,6.108472589E-4,-1.068982761E-3
4.513218950E-1,-1.068982761E-3,6.108472589E-4,1.527118147E-4
4.537662180E-1,1.527118147E-4,6.108472589E-4,-1.068982761E-3
4.562096560E-1,-2.290677279E-3,-6.108472589E-4,-3.512371797E-3
4.586540310E-1,1.527118147E-4,-4.275931045E-3,-1.068982761E-3
4.610991350E-1,-1.068982761E-3,-3.054236295E-3,1.527118147E-4
4.635434580E-1,-1.068982761E-3,-6.108472589E-4,1.374406274E-3
4.659868950E-1,-1.068982761E-3,6.108472589E-4,-2.290677279E-3
4.684312700E-1,1.527118147E-4,6.108472589E-4,-1.068982761E-3
4.708763740E-1,1.527118147E-4,-6.108472589E-4,-2.290677279E-3
4.733206450E-1,-1.068982761E-3,1.832541777E-3,-2.290677279E-3
4.757640830E-1,1.527118147E-4,-1.832541777E-3,1.527118147E-4
4.782084580E-1,1.527118147E-4,6.108472589E-4,1.374406274E-3
4.806535620E-1,-1.068982761E-3,-6.108472589E-4,-1.068982761E-3
4.830978850E-1,-1.068982761E-3,3.054236295E-3,1.527118147E-4
4.855413220E-1,1.527118147E-4,-6.108472589E-4,2.596100792E-3
4.879856970E-1,-1.068982761E-3,-1.832541777E-3,-4.734066315E-3
4.904308010E-1,-1.068982761E-3,-6.108472589E-4,-3.512371797E-3
4.928750720E-1,1.527118147E-4,-6.108472589E-4,1.527118147E-4
4.953185620E-1,1.374406274E-3,-6.108472589E-4,1.374406274E-3
4.977628850E-1,1.374406274E-3,-6.108472589E-4,1.374406274E-3
5.002079890E-1,1.527118147E-4,-1.832541777E-3,-1.068982761E-3
5.026523120E-1,-1.068982761E-3,-3.054236295E-3,-2.290677279E-3
5.050957490E-1,-1.068982761E-3,-6.108472589E-4,-2.290677279E-3
5.075401240E-1,-1.068982761E-3,-6.108472589E-4,1.527118147E-4
5.099852290E-1,1.527118147E-4,-6.108472589E-4,-2.290677279E-3
5.124295510E-1,-1.068982761E-3,1.832541777E-3,-1.068982761E-3
5.148729890E-1,-1.068982761E-3,-6.108472589E-4,-2.290677279E-3
5.173173640E-1,1.527118147E-4,6.108472589E-4,1.527118147E-4
5.197624680E-1,1.374406274E-3,6.108472589E-4,1.527118147E-4
5.222067390E-1,-1.068982761E-3,6.108472589E-4,-4.734066315E-3
5.246502290E-1,-1.068982761E-3,6.108472589E-4,-3.512371797E-3
5.270945510E-1,1.527118147E-4,-6.108472589E-4,1.527118147E-4
5.295396560E-1,1.527118147E-4,-1.832541777E-3,1.374406274E-3
5.319839790E-1,-1.068982761E-3,6.108472589E-4,1.374406274E-3
5.344274160E-1,1.527118147E-4,-6.108472589E-4,-1.068982761E-3
5.368717910E-1,-1.068982761E-3,3.054236295E-3,-3.512371797E-3
5.393168950E-1,-2.290677279E-3,6.108472589E-4,-5.955760833E-3
5.417611660E-1,1.527118147E-4,1.832541777E-3,-3.512371797E-3
5.442046560E-1,-1.068982761E-3,1.832541777E-3,-2.290677279E-3
5.466490310E-1,-2.290677279E-3,6.108472589E-4,-2.290677279E-3
5.490940830E-1,-1.068982761E-3,-1.832541777E-3,1.374406274E-3
5.515384060E-1,1.527118147E-4,-6.108472589E-4,1.527118147E-4
5.539818950E-1,1.527118147E-4,-6.108472589E-4,1.527118147E-4
5.564262180E-1,2.596100792E-3,6.108472589E-4,2.596100792E-3
5.588713220E-1,1.374406274E-3,-6.108472589E-4,1.527118147E-4
5.613156450E-1,1.527118147E-4,-6.108472589E-4,-1.068982761E-3
5.637590830E-1,1.374406274E-3,-6.108472589E-4,-1.068982761E-3
5.662034580E-1,1.527118147E-4,6.108472589E-4,1.527118147E-4
5.686485620E-1,1.374406274E-3,-6.108472589E-4,1.374406274E-3
5.710928330E-1,1.527118147E-4,1.832541777E-3,2.596100792E-3
5.735363220E-1,1.527118147E-4,6.108472589E-4,1.527118147E-4
5.759806450E-1,1.527118147E-4,-1.832541777E-3,-1.068982761E-3
5.784257490E-1,1.527118147E-4,6.108472589E-4,-1.068982761E-3
5.808700720E-1,-1.068982761E-3,6.108472589E-4,-1.068982761E-3
5.833135100E-1,1.527118147E-4,-1.832541777E-3,1.527118147E-4
5.857578850E-1,1.527118147E-4,6.108472589E-4,-2.290677279E-3
5.882029890E-1,1.527118147E-4,-1.832541777E-3,2.596100792E-3
5.906472600E-1,1.374406274E-3,6.108472589E-4,1.374406274E-3
5.930907490E-1,1.374406274E-3,1.832541777E-3,1.527118147E-4
5.955351240E-1,1.527118147E-4,6.108472589E-4,-1.068982761E-3
5.979801760E-1,1.374406274E-3,-1.832541777E-3,1.374406274E-3
6.004244990E-1,-1.068982761E-3,-6.108472589E-4,-1.068982761E-3
6.028679370E-1,-1.068982761E-3,1.832541777E-3,1.527118147E-4
6.053123120E-1,1.374406274E-3,-1.832541777E-3,-1.068982761E-3
6.077574160E-1,1.527118147E-4,-1.832541777E-3,-1.068982761E-3
6.102017390E-1,1.527118147E-4,6.108472589E-4,2.596100792E-3
6.126451760E-1,1.527118147E-4,6.108472589E-4,1.374406274E-3
6.150895510E-1,-1.068982761E-3,-6.108472589E-4,-1.068982761E-3
6.175346560E-1,1.527118147E-4,6.108472589E-4,-2.290677279E-3
6.199789260E-1,-1.068982761E-3,6.108472589E-4,1.527118147E-4
6.224224160E-1,1.527118147E-4,6.108472589E-4,-2.290677279E-3
6.248667390E-1,1.527118147E-4,-6.108472589E-4,-1.068982761E-3
6.273118430E-1,-1.068982761E-3,-6.108472589E-4,-1.068982761E-3
6.297561660E-1,-1.068982761E-3,1.832541777E-3,1.374406274E-3
6.321996040E-1,1.527118147E-4,6.108472589E-4,-1.068982761E-3
6.346439790E-1,1.527118147E-4,1.832541777E-3,-3.512371797E-3
6.370890830E-1,-1.068982761E-3,6.108472589E-4,-1.068982761E-3
6.395334060E-1,1.374406274E-3,-1.832541777E-3,1.527118147E-4
6.419768430E-1,1.527118147E-4,6.108472589E-4,1.527118147E-4
6.444212180E-1,1.527118147E-4,1.832541777E-3,1.527118147E-4
6.468663220E-1,1.527118147E-4,6.108472589E-4,1.527118147E-4
