"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.777662400E-2,-3.436015919E-3,5.344913807E-4,-5.268557463E-3
8.020261400E-2,2.290677221E-4,-2.519744914E-3,3.283303929E-3
8.262860400E-2,2.290677221E-4,-6.872031372E-4,-2.825168660E-3
8.505459300E-2,1.450762269E-3,-7.635590737E-5,3.894151188E-3
8.748053100E-2,8.399150101E-4,-2.519744914E-3,-9.926267667E-4
8.990652000E-2,-9.926267667E-4,1.145338640E-3,2.290677221E-4
9.233251000E-2,2.672456671E-3,1.145338640E-3,2.290677221E-4
9.475844700E-2,8.399150101E-4,-1.298050396E-3,-3.817795368E-4
9.718443700E-2,8.399150101E-4,5.344913807E-4,2.061609412E-3
9.961042700E-2,1.450762269E-3,-1.908897655E-3,-2.825168660E-3
1.020364160E-1,8.399150101E-4,1.145338640E-3,2.672456671E-3
1.044623540E-1,2.290677221E-4,2.367033157E-3,-3.817795368E-4
1.068883430E-1,2.290677221E-4,-1.298050396E-3,2.061609412E-3
1.093143330E-1,1.450762269E-3,1.756185899E-3,-1.603474026E-3
1.117402700E-1,1.450762269E-3,1.145338640E-3,8.399150101E-4
1.141662600E-1,8.399150101E-4,5.344913807E-4,1.450762269E-3
1.165922490E-1,2.290677221E-4,1.756185899E-3,-9.926267667E-4
1.190181870E-1,2.290677221E-4,-6.872031372E-4,2.061609412E-3
1.214441770E-1,8.399150101E-4,-6.872031372E-4,-9.926267667E-4
1.238701660E-1,2.290677221E-4,-7.635590737E-5,1.450762269E-3
1.262961560E-1,8.399150101E-4,-6.872031372E-4,-9.926267667E-4
1.287220930E-1,-3.817795368E-4,-1.908897655E-3,2.061609412E-3
1.311480830E-1,2.290677221E-4,-1.908897655E-3,-1.603474026E-3
1.335740720E-1,-9.926267667E-4,-6.872031372E-4,3.283303929E-3
1.360000100E-1,1.450762269E-3,-6.872031372E-4,-3.817795368E-4
1.384259990E-1,2.290677221E-4,-6.872031372E-4,2.290677221E-4
1.408519890E-1,2.290677221E-4,-7.635590737E-5,8.399150101E-4
1.432779790E-1,8.399150101E-4,1.145338640E-3,-9.926267667E-4
1.457039160E-1,1.450762269E-3,1.145338640E-3,1.450762269E-3
1.481299060E-1,8.399150101E-4,-7.635590737E-5,-9.926267667E-4
1.505558950E-1,1.450762269E-3,-6.872031372E-4,-9.926267667E-4
