"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.241693700E-2,-2.243271172E-1,-1.196411327E-1,9.907182693E0
2.484219700E-2,-2.291127741E-1,-1.172483116E-1,9.921540260E0
2.726745800E-2,-2.219343036E-1,-1.124626622E-1,9.957432747E0
2.969271800E-2,-2.123630047E-1,-1.220339537E-1,9.988538742E0
3.211797900E-2,-2.195414752E-1,-1.076770201E-1,9.983753204E0
3.454198900E-2,-2.195414752E-1,-1.124626622E-1,9.981360435E0
3.696626000E-2,-2.195414752E-1,-1.292124242E-1,9.926325798E0
3.943896800E-2,-2.434697002E-1,-1.172483116E-1,9.888040543E0
4.191297900E-2,-2.362912297E-1,-1.148554832E-1,9.859326363E0
4.434610400E-2,-2.386840582E-1,-1.316052526E-1,9.828220367E0
4.677157200E-2,-2.195414752E-1,-9.092725813E-2,9.833005905E0
4.919698900E-2,-2.482553422E-1,-1.100698411E-1,9.828220367E0
5.162261400E-2,-2.530409992E-1,-8.614161611E-2,9.801898956E0
5.404813500E-2,-2.147558331E-1,-1.028913707E-1,9.811470032E0
5.647370800E-2,-2.291127741E-1,-1.004985496E-1,9.801898956E0
5.889933300E-2,-2.338984162E-1,-9.810572863E-2,9.813862801E0
6.132506200E-2,-2.362912297E-1,-1.124626622E-1,9.840184212E0
6.375089500E-2,-2.386840582E-1,-1.076770201E-1,9.835398674E0
6.617678100E-2,-2.171486616E-1,-9.571290761E-2,9.861719131E0
6.860511400E-2,-2.530409992E-1,-8.853443712E-2,9.844969749E0
7.102870800E-2,-2.267199457E-1,-9.092725813E-2,9.859326363E0
7.345469700E-2,-2.578266263E-1,-1.100698411E-1,9.868897438E0
7.588068700E-2,-2.362912297E-1,-1.124626622E-1,9.868897438E0
7.830662400E-2,-2.458625287E-1,-1.148554832E-1,9.861719131E0
8.073261400E-2,-2.338984162E-1,-1.076770201E-1,9.878469467E0
8.315860400E-2,-2.315055877E-1,-1.268195957E-1,9.883255005E0
8.558459300E-2,-2.338984162E-1,-1.076770201E-1,9.878469467E0
8.801053100E-2,-2.482553422E-1,-1.124626622E-1,9.892826080E0
9.043652000E-2,-2.267199457E-1,-1.028913707E-1,9.864111900E0
9.286251000E-2,-2.386840582E-1,-9.571290761E-2,9.880862236E0
9.528844700E-2,-2.386840582E-1,-8.853443712E-2,9.880862236E0
9.771443700E-2,-2.338984162E-1,-1.172483116E-1,9.871291161E0
1.001404270E-1,-2.482553422E-1,-1.052841991E-1,9.892826080E0
1.025664160E-1,-2.578266263E-1,-9.571290761E-2,9.892826080E0
1.049923540E-1,-2.362912297E-1,-1.028913707E-1,9.856933594E0
1.074183430E-1,-2.410768867E-1,-1.004985496E-1,9.835398674E0
1.098443330E-1,-2.386840582E-1,-8.853443712E-2,9.847362518E0
1.122702700E-1,-2.338984162E-1,-9.332008660E-2,9.859326363E0
1.146962600E-1,-2.147558331E-1,-1.028913707E-1,9.847362518E0
1.171222490E-1,-2.386840582E-1,-1.028913707E-1,9.844969749E0
1.195481870E-1,-2.147558331E-1,-1.004985496E-1,9.840184212E0
1.219741770E-1,-2.267199457E-1,-1.100698411E-1,9.837791443E0
1.244001660E-1,-2.506481707E-1,-1.196411327E-1,9.861719131E0
1.268261560E-1,-2.362912297E-1,-1.100698411E-1,9.866504669E0
1.292520930E-1,-2.171486616E-1,-1.148554832E-1,9.878469467E0
1.316780830E-1,-2.578266263E-1,-1.028913707E-1,9.871291161E0
1.341040720E-1,-2.673979402E-1,-1.100698411E-1,9.888040543E0
1.365300100E-1,-2.315055877E-1,-1.124626622E-1,9.883255005E0
1.389559990E-1,-2.243271172E-1,-1.004985496E-1,9.876076698E0
1.413819890E-1,-2.386840582E-1,-1.268195957E-1,9.873683929E0
1.438079790E-1,-2.123630047E-1,-1.220339537E-1,9.859326363E0
1.462339160E-1,-2.458625287E-1,-1.220339537E-1,9.856933594E0
1.486599060E-1,-2.410768867E-1,-1.172483116E-1,9.864111900E0
1.510858950E-1,-2.291127741E-1,-1.100698411E-1,9.849755287E0
1.535118330E-1,-2.123630047E-1,-1.172483116E-1,9.840184212E0
1.559378220E-1,-2.386840582E-1,-1.028913707E-1,9.840184212E0
1.583638120E-1,-2.530409992E-1,-8.135596663E-2,9.866504669E0
1.607898020E-1,-2.219343036E-1,-1.172483116E-1,9.856933594E0
1.632157390E-1,-2.315055877E-1,-8.374879509E-2,9.866504669E0
1.656417290E-1,-2.219343036E-1,-1.172483116E-1,9.871291161E0
1.680677180E-1,-2.147558331E-1,-1.028913707E-1,9.873683929E0
1.704936560E-1,-2.362912297E-1,-9.810572863E-2,9.866504669E0
1.729196450E-1,-2.219343036E-1,-9.332008660E-2,9.885647774E0
1.753456350E-1,-2.386840582E-1,-8.614161611E-2,9.885647774E0
1.777716240E-1,-2.338984162E-1,-9.332008660E-2,9.878469467E0
1.801975620E-1,-2.243271172E-1,-1.124626622E-1,9.876076698E0
1.826235520E-1,-2.530409992E-1,-1.196411327E-1,9.856933594E0
1.850495410E-1,-2.482553422E-1,-1.076770201E-1,9.864111900E0
1.874755310E-1,-2.626122832E-1,-1.028913707E-1,9.866504669E0
1.899014680E-1,-2.099701911E-1,-7.657032460E-2,9.861719131E0
