"event","experiment time","system time","system time text"
"START",0.000000000E0,1733955068.063,"2024-12-12 00:11:08.063 UTC+02:00"
"PAUSE",6.004127774E1,1733955128.104,"2024-12-12 00:12:08.104 UTC+02:00"
